GEOID,HRR name,State,Multiple chronic conditions - Fee-for-service Medicare beneficiaries*,Dementia - Fee-for-service Medicare beneficiaries*,Multiple chronic conditions - Average number of contact days with the health care system per beneficiary,Dementia - Average number of contact days with the health care system per beneficiary,Multiple chronic conditions - Average number of inpatient days per beneficiary,Dementia - Average number of inpatient days per beneficiary,Multiple chronic conditions - Average number of unique clinicians seen per beneficiary,Dementia - Average number of unique clinicians seen per beneficiary,Multiple chronic conditions - Percent of beneficiaries whose predominant provider was a primary care physician,Dementia - Percent of beneficiaries whose predominant provider was a primary care physician,Multiple chronic conditions - Percent of beneficiaries filling prescriptions for high-risk medications,Dementia - Percent of beneficiaries filling prescriptions for high-risk medications
426,Arlington,VA,25028,12770,34.1401650553997,26.4997840253242,15.2761157424167,17.2645071224851,5.39626847765048,4.08417109828877,60.4406796746989,67.6584217185713,25.7296999935731,23.0500035895497
427,Charlottesville,VA,14091,6585,27.483219629111,22.5329128169964,15.6283423049702,18.4357536969611,4.87007036284658,3.98708394391823,70.4134972796426,77.550368009362,23.2758330095524,23.1403279737184
428,Lynchburg,VA,6724,3308,28.5651431908335,23.0262733162683,16.5854096163895,19.2863254726568,5.13893916778254,4.04850110364388,62.9217767194831,67.4003229937438,31.9435428764198,26.5803187984467
429,Newport News,VA,12826,6046,32.9225195997979,26.8307292427817,13.4911040168186,17.7997867244442,5.59300235775793,4.55947880370885,61.2813396027009,66.6631544962139,27.4098769558422,29.0381614015796
430,Norfolk,VA,27999,13824,31.8353991641421,27.3304050918708,15.9597617135422,20.3117568448279,5.35601087267673,4.45249328113905,64.392928841807,65.7012318301172,26.9126473448578,26.7796935661409
431,Richmond,VA,35571,16447,30.45542914585,24.6687998556342,16.8176460886708,20.2720955990086,4.91581007437213,3.75414469826775,67.9313909384759,75.1416225502938,26.7621830466547,26.2926784841189
432,Roanoke,VA,19592,7728,28.9931941491414,25.9335913338029,17.8427671351161,24.3653296324282,4.59907235898506,3.75652278296993,64.9594102004457,71.5008459006088,28.875228495152,29.4227619857342
435,Winchester,VA,10596,4397,27.7699333553196,25.6889236638231,15.6815052705573,21.3383229101727,4.29601395899455,3.6023666905056,70.6634576756896,74.6346418516658,22.5108533702473,24.2200180374752
437,Everett,WA,7685,3475,29.1055650846652,21.8602520736582,14.7328230300359,15.6172834259806,5.05652287787013,3.59075645454199,64.8446472304129,68.4224214434846,24.6119647598766,23.7609607722186
438,Olympia,WA,6377,2782,27.7970986374958,21.0056370107512,16.1167384930632,18.4862837818982,4.29626264022087,3.2916276152036,64.6143607807436,70.6216544490214,27.5561338626058,26.6566463549968
439,Seattle,WA,36739,18876,29.8572959773288,22.8382370884818,15.5620271115325,16.4374734624636,5.04415403588376,3.74393562009814,61.0589798499788,68.4595607069241,23.2557120408859,21.4914515270037
440,Spokane,WA,27605,13874,27.9440593644378,21.0989588693386,13.9020766320754,14.804158125604,4.57270535474834,3.51273088179758,63.1396946284098,69.6872707340139,24.3389023793671,23.6558569783793
441,Tacoma,WA,11700,4757,29.3902690527063,23.1348592976505,16.0114282082218,20.3108347440172,4.81075758211553,3.64254354766881,64.9480351463849,71.8950378725002,24.1341871024598,23.1328846088498
442,Yakima,WA,4935,2260,27.3473934521354,21.2712940978637,16.1207311610278,18.3775536347506,4.52209162584444,3.17006942565755,70.1822529502992,79.3193138782545,24.2391112643488,25.2863890311788
443,Charleston,WV,23247,9134,29.6018888363033,27.207027367303,17.0415447843102,25.0150425435399,4.21138601903044,3.31957549631227,69.7207272595601,74.5095222537515,28.6047349892831,27.9404439737659
444,Huntington,WV,10367,3856,29.8421803377114,26.8027454085671,16.1166679474769,24.0464181881268,4.59138347334486,3.51164153067381,67.3786750408389,74.183964636899,31.1055449290956,33.2862996028521
445,Morgantown,WV,9274,3644,28.6441518414593,24.3178103402484,16.461370154628,21.593702687478,4.32589382478567,3.20489560789512,69.4851592815172,79.7392713297843,22.5941544103348,21.826131570516
446,Appleton,WI,3924,1688,26.8117565978599,19.983312103779,16.5381196337086,17.9920456856635,4.40768038754093,3.20129732380011,61.2294740466823,70.9973354675628,17.4140613908835,17.5651453214619
447,Green Bay,WI,8954,4536,25.4363193484696,18.610688076673,17.698749915821,19.08224475364,4.37628088071892,3.25011281662999,61.2701731915567,72.99367913623,17.6063333013991,16.2590799085594
448,La Crosse,WI,6200,3009,26.998318542866,19.9970950531807,15.0845962477463,17.3490284432963,4.58330269408068,3.63239675488634,68.0823380059786,74.0211005865028,17.0607145572907,17.5860737478878
449,Madison,WI,17163,8388,26.5372481251594,20.4239593337058,16.8131144300554,17.8779235103951,4.51980939296312,3.37454488011455,67.0523303353072,73.8323136593156,22.2090789535405,19.7786025600385
450,Marshfield,WI,7676,3267,26.168507015412,20.4678009974202,15.8548870028163,18.6275850502698,4.47547902437354,3.37498129414886,66.5537470892543,76.8672051846813,18.3959953117777,16.4117506386801
451,Milwaukee,WI,46438,22606,31.9735366816047,27.259260283055,18.068207081854,22.2356117308351,4.67160364062075,3.6146213678491,67.3497878142131,75.2727439931277,19.943236472994,18.9044899438469
452,Neenah,WI,3170,1397,29.048596237639,21.651248674384,15.3958404655899,18.7399439255055,4.50039251651881,3.16805990554977,60.4217438391996,67.3664667339969,17.0405651984489,16.4351243876643
456,Wausau,WI,4565,2173,25.6880881686171,19.8829110559227,14.9481640824964,17.0772282526988,4.58043657826076,3.53914538133677,66.7293435612738,74.0473302954276,17.9408104749171,17.4515382380594
457,Casper,WY,3710,1791,30.2574279317207,23.3703768650862,17.8047855619921,22.413501426343,4.40757424891857,3.30922775140861,62.7184706819344,76.9379006617773,22.3307667435933,21.1001652153133
999,United States,US,5738378,2640546,33.2185994021307,29.6248794756842,17.2372696605208,22.4593565118729,4.91011832960464,4.00675579974748,62.7618292137604,69.1295285141785,25.8019111168851,24.9208294935711
