Medicare Severity Diagnostic-Related Group code,Medicare Severity Diagnostic-Related Group label,# of records with this Medicare Severity Diagnositic-Related Group code in 2007,# of people with this Medicare Severity Diagnotic-Related Group code in 2007,# of records with this Medicare Severity Diagnositic-Related Group code in 2008,# of people with this Medicare Severity Diagnotic-Related Group code in 2008,# of records with this Medicare Severity Diagnositic-Related Group code in 2009,# of people with this Medicare Severity Diagnotic-Related Group code in 2009,# of records with this Medicare Severity Diagnositic-Related Group code in 2010,# of people with this Medicare Severity Diagnotic-Related Group code in 2010,# of records with this Medicare Severity Diagnositic-Related Group code in 2011,# of people with this Medicare Severity Diagnotic-Related Group code in 2011,# of records with this Medicare Severity Diagnositic-Related Group code in 2012,# of people with this Medicare Severity Diagnotic-Related Group code in 2012,# of records with this Medicare Severity Diagnositic-Related Group code in 2013,# of people with this Medicare Severity Diagnotic-Related Group code in 2013,# of records with this Medicare Severity Diagnositic-Related Group code in 2014,# of people with this Medicare Severity Diagnotic-Related Group code in 2014
465,"Wound Debridement and Skin Graft Except Hand, for
Musculo-Connective Tissue Disorders without CC/MCC",507,504,1755,1731,1818,1788,2495,2461,2427,2400,2284,2250,2306,2284,2105,2071
466,Revision of Hip or Knee Replacement with MCC,1111,1099,4503,4400,4636,4532,4612,4523,3962,3887,4085,4001,3756,3681,3702,3617
467,Revision of Hip or Knee Replacement with CC,4219,4176,17483,16766,19018,18281,20100,19262,22793,21753,22689,21664,22018,21099,21043,20096
468,Revision of Hip or Knee Replacement without CC/MCC,4442,4402,16589,16153,15712,15282,15815,15390,16823,16382,16459,16032,16899,16444,17103,16674
469,"Major Joint Replacement or Reattachment of Lower Extremity
with MCC",8797,8788,34645,34446,34351,34144,33619,33436,26266,26096,26163,26005,24770,24627,24447,24320
470,"Major Joint Replacement or Reattachment of Lower Extremity
without MCC",99838,99403,401762,387455,410041,394661,426926,411003,425761,409919,433177,416686,443126,425453,442398,425035
471,Cervical Spinal Fusion with MCC,695,692,2799,2775,2925,2899,3117,3085,3131,3099,3307,3274,3031,2999,3021,2987
472,Cervical Spinal Fusion with CC,1802,1794,7707,7650,8408,8329,9182,9112,10148,10032,10826,10708,11091,10990,11574,11459
473,Cervical Spinal Fusion without CC/MCC,5639,5628,23373,23189,25002,24756,26674,26386,28103,27849,28456,28199,28407,28211,28526,28280
474,"Amputation for Musculoskeletal System and Connective
Tissue Disorders with MCC",807,798,3316,3152,3353,3173,3324,3148,3227,3038,3147,2960,3120,2938,3143,2967
475,"Amputation for Musculoskeletal System and Connective
Tissue Disorders with CC",766,758,3174,3050,3379,3234,3477,3302,3822,3644,3812,3651,3519,3356,3678,3524
476,"Amputation for Musculoskeletal System and Connective
Tissue Disorders without CC/MCC",297,293,1179,1152,1130,1107,1168,1132,1176,1152,1121,1090,1033,1013,989,972
477,"Biopsies of Musculoskeletal System and Connective Tissue
with MCC",811,806,3279,3238,3236,3205,3254,3220,2652,2627,2624,2599,2464,2441,2531,2504
478,"Biopsies of Musculoskeletal System and Connective Tissue
with CC",2244,2216,8572,8360,7864,7717,7377,7274,7356,7255,6969,6874,6440,6354,6176,6091
479,"Biopsies of Musculoskeletal System and Connective Tissue
without CC/MCC",2336,2295,8362,8035,5226,5090,4040,3966,3506,3441,2896,2850,2287,2260,2274,2245
480,Hip and Femur Procedures Except Major Joint with MCC,7904,7866,31346,31046,31261,30970,29925,29700,25526,25302,25000,24784,24169,23988,24628,24435
481,Hip and Femur Procedures Except Major Joint with CC,19389,19267,73659,72464,73997,72812,73920,72821,80440,79148,79146,77937,75459,74320,74804,73700
482,"Hip and Femur Procedures Except Major Joint without
CC/MCC",10577,10543,37059,36749,33096,32818,30817,30544,28888,28680,26569,26373,25629,25454,24704,24546
483,"Major Joint and Limb Reattachment Procedures of Upper
Extremity with CC/MCC",2211,2211,9252,9184,10531,10455,11979,11860,12970,12839,14183,14015,14680,14532,22659,22442
484,"Major Joint and Limb Reattachment Procedures of Upper
Extremity without CC/MCC",4201,4199,17063,16811,18616,18327,20870,20529,22071,21742,23443,23081,26000,25585,20649,20438
485,"Knee Procedures with Principal Diagnosis of Infection with
MCC",313,310,1359,1315,1381,1350,1344,1307,1150,1124,1197,1168,1160,1138,1218,1197
486,Knee Procedures with Principal Diagnosis of Infection with CC,565,559,2297,2228,2433,2351,2154,2082,2635,2560,2676,2594,2787,2702,2703,2632
487,"Knee Procedures with Principal Diagnosis of Infection without
CC/MCC",302,299,1217,1182,1132,1105,1012,993,1078,1057,1108,1076,1003,985,968,954
488,"Knee Procedures without Principal Diagnosis of Infection with
CC/MCC",724,720,3036,3005,3284,3251,3349,3298,3599,3549,3384,3345,3234,3193,3145,3111
489,"Knee Procedures without Principal Diagnosis of Infection
without CC/MCC",1373,1368,5198,5143,4908,4860,4594,4554,4719,4665,4366,4318,4174,4132,3965,3930
490,"Back and Neck Procedures Except Spinal Fusion with
CC/MCC or Disc Device/Neurostimulator",6039,6023,22978,22768,22131,21893,20520,20326,19310,19111,18605,18453,17544,17402,12462,12397
491,"Back and Neck Procedures Except Spinal Fusion without
CC/MCC",12125,12074,47362,46563,43451,42729,40566,39961,38670,38143,34889,34481,29134,28855,18941,18819
492,"Lower Extremity and Humerus Procedures Except Hip, Foot,
Femur with MCC",1571,1557,6249,6134,6703,6557,6803,6644,5917,5787,5597,5478,5164,5084,5315,5207
493,"Lower Extremity and Humerus Procedures Except Hip, Foot,
Femur with CC",4686,4640,18262,17870,18721,18283,19887,19446,21456,20940,20338,19842,18696,18300,18262,17846
494,"Lower Extremity and Humerus Procedures Except Hip, Foot,
Femur without CC/MCC",7103,7030,26496,26018,25131,24682,24579,24135,23902,23437,20923,20515,18623,18292,17237,16957
495,"Local Excision and Removal Internal Fixation Devices Except
Hip and Femur with MCC",529,522,2363,2318,2433,2390,2086,2061,1892,1859,1934,1905,1797,1770,1742,1720
496,"Local Excision and Removal Internal Fixation Devices Except
Hip and Femur with CC",1492,1484,5753,5614,5738,5589,4829,4731,5279,5170,4951,4842,4418,4346,4446,4383
497,"Local Excision and Removal Internal Fixation Devices Except
Hip and Femur without CC/MCC",1518,1512,6067,5995,5508,5435,4857,4810,4545,4505,4291,4248,3590,3562,3219,3199
498,"Local Excision and Removal Internal Fixation Devices of Hip
and Femur with CC/MCC",341,335,1339,1314,1493,1453,1445,1412,1481,1455,1334,1293,1183,1155,1179,1147
499,"Local Excision and Removal Internal Fixation Devices of Hip
and Femur without CC/MCC",245,245,941,928,830,822,772,767,783,777,613,608,523,520,486,480
500,Soft Tissue Procedures with MCC,487,483,2232,2217,2511,2487,2663,2633,2327,2286,2273,2242,2105,2069,2097,2077
501,Soft Tissue Procedures with CC,1083,1077,4342,4311,4663,4622,5075,5016,5256,5174,5350,5301,4730,4687,4677,4616
502,Soft Tissue Procedures without CC/MCC,1511,1506,5823,5756,5743,5671,5548,5487,5121,5068,4448,4412,4068,4039,3618,3591
503,Foot Procedures with MCC,253,252,1044,1036,1239,1225,1184,1164,1049,1042,1071,1060,945,933,971,953
504,Foot Procedures with CC,539,538,2370,2340,2558,2525,2731,2696,3152,3105,3003,2958,2697,2664,2803,2762
505,Foot Procedures without CC/MCC,640,638,2413,2394,2294,2260,2261,2247,2254,2236,1913,1895,1607,1601,1446,1438
506,MAJOR THUMB OR JOINT PROCEDURES,181,179,728,717,697,692,719,708,634,629,615,611,594,583,515,513
507,Major Shoulder or Elbow Joint Procedures with CC/MCC,244,244,931,924,873,870,648,646,659,654,627,622,620,609,535,530
508,Major Shoulder or Elbow Joint Procedures without CC/MCC,553,552,1967,1959,1621,1614,955,949,727,726,606,604,494,490,348,345
509,ARTHROSCOPY,115,115,426,424,334,331,284,283,266,265,197,197,199,198,147,147
510,"Shoulder, Elbow or Forearm Procedure, Except Major Joint
Procedure with MCC",291,291,1261,1257,1273,1265,1303,1300,1132,1128,1011,1008,926,926,924,924
511,"Shoulder, Elbow or Forearm Procedure, Except Major Joint
Procedure with CC",1095,1093,4125,4118,4096,4079,4121,4108,4230,4215,3733,3725,3331,3317,3142,3135
512,"Shoulder, Elbow or Forearm Procedure, Except Major Joint
Procedure without CC/MCC",2421,2416,9079,9031,7988,7953,7321,7285,6455,6424,5309,5288,4227,4216,3455,3442
513,"Hand or Wrist Procedures, Except Major Thumb or Joint
Procedures with CC/MCC",318,318,1232,1220,1281,1263,1439,1424,1377,1370,1397,1380,1242,1232,1202,1190
514,"Hand or Wrist Procedures, Except Major Thumb or Joint
Procedures without CC/MCC",253,253,995,988,920,913,929,925,892,889,856,848,732,726,663,663
515,"Other Musculoskeletal System and Connective Tissue O.R.
Procedure with MCC",1082,1072,4672,4606,4800,4762,4665,4620,3910,3871,3860,3820,3406,3374,3492,3457
516,"Other Musculoskeletal System and Connective Tissue O.R.
Procedure with CC",2967,2928,11058,10780,10612,10359,9949,9732,9994,9777,9453,9277,8338,8178,8608,8429
517,"Other Musculoskeletal System and Connective Tissue O.R.
Procedure without CC/MCC",3723,3638,12928,12411,10413,10112,8721,8505,8024,7845,7095,6939,6162,6030,6163,6024
518,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,990,990
519,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3117,3104
520,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5885,5872
533,Fractures of Femur with MCC,506,476,1667,1542,1582,1487,1529,1437,1370,1276,1439,1348,1394,1299,1496,1392
534,Fractures of Femur without MCC,3576,3300,10532,9379,9744,8690,9399,8425,9417,8501,8957,8145,8569,7810,8843,8110
535,Fractures of Hip and Pelvis with MCC,4139,3884,13867,12851,12966,12182,12345,11686,10839,10217,10594,9989,10083,9541,10168,9642
536,Fractures of Hip and Pelvis without MCC,29958,26514,89115,76001,78010,67391,72614,63044,70052,61155,63204,55514,56243,49934,55705,49592
537,"Sprains, Strains, and Dislocations of Hip, Pelvis and Thigh
with CC/MCC",352,332,1204,1120,1182,1125,1111,1055,1091,1044,999,947,936,892,978,930
538,"Sprains, Strains, and Dislocations of Hip, Pelvis and Thigh
without CC/MCC",449,423,1509,1381,1268,1183,1142,1061,1030,956,920,850,794,757,823,760
539,Osteomyelitis with MCC,1894,1724,7025,6136,6780,6070,6914,6144,6524,5809,6610,5875,6397,5702,6545,5874
540,Osteomyelitis with CC,1971,1806,6925,6141,6832,6090,6856,6097,7224,6456,7134,6383,6727,6044,6774,6084
541,Osteomyelitis without CC/MCC,1409,1277,4661,4051,4541,3965,4622,4071,4475,3971,4283,3768,4004,3574,4173,3783
542,"Pathological Fractures and Musculoskeletal and Connective
Tissue Malignancy with MCC",1964,1906,7695,7379,7565,7288,6891,6640,5819,5593,5627,5436,5296,5116,5198,5032
543,"Pathological Fractures and Musculoskeletal and Connective
Tissue Malignancy with CC",5057,4815,17779,16758,17049,16018,16094,15155,16341,15488,15257,14471,13263,12600,13602,12936
544,"Pathological Fractures and Musculoskeletal and Connective
Tissue Malignancy without CC/MCC",3499,3301,11481,10664,9725,9098,8763,8189,8137,7653,6716,6366,5800,5504,5607,5354
545,Connective Tissue Disorders with MCC,1339,1251,4952,4379,4845,4309,4909,4367,4201,3783,4032,3642,3847,3490,3715,3364
546,Connective Tissue Disorders with CC,1741,1658,6247,5689,5855,5283,5984,5427,6678,6086,6186,5598,5541,5060,5299,4855
547,Connective Tissue Disorders without CC/MCC,1696,1582,5750,5193,4775,4338,4836,4331,4466,4091,3795,3444,3138,2873,3010,2785
548,Septic Arthritis with MCC,318,304,1220,1129,1271,1194,1244,1151,1128,1055,1072,991,945,857,1017,944
549,Septic Arthritis with CC,465,440,1766,1649,1709,1588,1827,1688,1960,1828,2017,1869,1840,1713,1800,1692
550,Septic Arthritis without CC/MCC,462,414,1458,1333,1496,1348,1376,1246,1306,1196,1280,1150,1130,1052,1084,1006
551,Medical Back Problems with MCC,4220,4021,16313,15474,17150,16312,17039,16206,14544,13833,14298,13625,13267,12630,13937,13241
552,Medical Back Problems without MCC,31732,28271,111214,96224,102759,89741,99709,87557,99622,87850,89948,79984,77413,69255,79733,71175
553,Bone Diseases and Arthropathies with MCC,1831,1765,6242,5913,5819,5534,5807,5500,4053,3835,3950,3747,3461,3272,3525,3359
554,Bone Diseases and Arthropathies without MCC,20628,19602,66618,61556,60745,56338,58098,53926,55902,51743,51278,47737,45854,42915,43181,40509
555,"Signs and Symptoms of Musculoskeletal System and
Connective Tissue with MCC",2911,2690,10286,9193,10662,9593,12091,10849,12089,10826,12804,11438,13430,12063,14438,12874
556,"Signs and Symptoms of Musculoskeletal System and
Connective Tissue without MCC",18513,17105,63322,56274,65697,58367,70226,62596,72550,64779,69294,62072,64788,58275,63240,57076
557,"Tendonitis, Myositis and Bursitis with MCC",2131,2040,8637,8236,8528,8180,8042,7727,5889,5643,5880,5597,5620,5387,5306,5088
558,"Tendonitis, Myositis and Bursitis without MCC",6833,6385,24519,22387,22677,20696,23017,21004,25632,23392,24418,22235,21882,19988,20520,18690
559,"Aftercare, Musculoskeletal System and Connective Tissue
with MCC",4994,4709,14162,13003,9965,9161,9986,9169,10371,9521,10731,9870,10497,9643,10924,10049
560,"Aftercare, Musculoskeletal System and Connective Tissue
with CC",9304,8837,29391,27141,28379,26144,29092,26777,31230,28719,31077,28505,29370,27226,29442,27129
561,"Aftercare, Musculoskeletal System and Connective Tissue
without CC/MCC",20597,19521,67321,61977,69078,63740,69279,63797,67790,62663,65191,60479,59481,55468,58300,54450
562,"Fractures, Sprains, Strains and Dislocations Except Femur,
Hip, Pelvis and Thigh with MCC",2914,2738,9987,9335,9497,9014,9161,8694,7878,7397,7646,7196,7212,6800,7491,7031
563,"Fractures, Sprains, Strains and Dislocations Except Femur,
Hip, Pelvis and Thigh without MCC",19167,16595,59928,50612,52517,45115,50263,43595,49598,43173,45158,39618,38860,34404,39901,35329
564,"Other Musculoskeletal System and Connective Tissue
Diagnoses with MCC",1174,1107,4044,3750,3639,3373,3771,3533,3377,3120,3508,3226,3273,3060,3520,3282
565,"Other Musculoskeletal System and Connective Tissue
Diagnoses with CC",2369,2274,8026,7544,7830,7388,8142,7653,8690,8195,8845,8321,8208,7743,8502,8023
566,"Other Musculoskeletal System and Connective Tissue
Diagnoses without CC/MCC",5804,5596,19447,18358,19274,18247,19741,18761,19405,18388,19417,18495,18678,17812,18517,17702
570,SKIN DEBRIDEMENT W MCC,.,.,0,0,0,0,0,0,1671,1629,6181,5929,5487,5259,5340,5134
571,SKIN DEBRIDEMENT W CC,0,0,0,0,0,0,0,0,1455,1437,5329,5233,4839,4759,4720,4641
572,SKIN DEBRIDEMENT W/O CC/MCC,0,0,0,0,0,0,0,0,620,619,2384,2362,2076,2062,1833,1824
573,"Skin Graft and/or Debridement for Skin Ulcer or Cellulitis with
MCC",1878,1847,7568,7235,7512,7144,7096,6784,5379,5139,3177,2993,2695,2526,2621,2483
574,"Skin Graft and/or Debridement for Skin Ulcer or Cellulitis with
CC",2816,2750,10634,10096,9747,9263,9330,8892,7584,7270,1256,1222,983,962,823,804
575,"Skin Graft and/or Debridement for Skin Ulcer or Cellulitis
without CC/MCC",1129,1113,4017,3951,3735,3656,3558,3498,2549,2521,447,445,335,331,303,299
576,"Skin Graft and/or Debridement Except for Skin Ulcer or
Cellulitis with MCC",207,206,707,699,853,843,838,824,667,652,454,447,458,454,424,417
577,"Skin Graft and/or Debridement Except for Skin Ulcer or
Cellulitis with CC",603,601,2361,2318,2286,2244,2308,2263,2368,2322,1744,1717,1638,1612,1547,1520
578,"Skin Graft and/or Debridement Except for Skin Ulcer or
Cellulitis without CC/MCC",794,789,2770,2728,2554,2505,2437,2391,2301,2243,1884,1842,1563,1524,1397,1372
579,"Other Skin, Subcutaneous Tissue and Breast Procedures with
MCC",1168,1162,4847,4785,5313,5227,5745,5640,5656,5531,6719,6504,6411,6227,6212,6025
580,"Other Skin, Subcutaneous Tissue and Breast Procedures with
CC",2651,2641,10587,10483,11150,11002,11360,11192,11902,11783,9928,9807,8548,8449,7647,7585
581,"Other Skin, Subcutaneous Tissue and Breast Procedures
without CC/MCC",2846,2837,11247,11187,10937,10877,10609,10548,10016,9971,8534,8471,6917,6887,5667,5641
582,Mastectomy for Malignancy with CC/MCC,1381,1377,5464,5452,4841,4830,4519,4514,3884,3878,3383,3380,2871,2868,2202,2199
583,Mastectomy for Malignancy without CC/MCC,2143,2140,8251,8231,7498,7477,6691,6675,5842,5824,4951,4936,3795,3788,2768,2763
584,"Breast Biopsy, Local Excision and Other Breast Procedures
with CC/MCC",201,201,789,781,907,901,807,796,844,837,769,764,751,743,674,666
585,"Breast Biopsy, Local Excision and Other Breast Procedures
without CC/MCC",330,330,1287,1272,1517,1500,1477,1451,1362,1343,1254,1245,1147,1135,1075,1063
592,Skin Ulcers with MCC,2935,2746,11523,10357,10622,9590,9926,8920,9660,8695,11765,10269,10100,8963,9954,8864
593,Skin Ulcers with CC,5550,5081,18856,16513,16292,14404,15351,13598,14023,12575,9888,9083,8309,7680,7495,6970
594,Skin Ulcers without CC/MCC,2637,2382,8031,6921,6667,5814,6401,5612,5732,5070,4398,3891,3475,3142,3389,3050
595,Major Skin Disorders with MCC,413,395,1732,1643,1916,1807,1753,1661,1332,1262,1383,1311,1248,1197,1293,1234
596,Major Skin Disorders without MCC,1733,1603,6051,5514,5641,5136,5679,5212,5911,5415,5579,5083,4453,4104,4524,4105
597,Malignant Breast Disorders with MCC,291,273,1035,986,942,904,988,934,946,896,1005,958,1023,963,1042,997
598,Malignant Breast Disorders with CC,736,665,2447,2220,2481,2244,2394,2202,2519,2275,2481,2256,2260,2062,2123,1950
599,Malignant Breast Disorders without CC/MCC,431,403,1542,1381,1333,1199,1150,1061,1068,976,905,840,783,729,687,627
600,Nonmalignant Breast Disorders with CC/MCC,278,274,1171,1096,1230,1148,1255,1180,1344,1259,1376,1280,1185,1125,1109,1049
601,Nonmalignant Breast Disorders without CC/MCC,339,330,1059,1009,1037,991,1019,959,969,934,880,845,735,707,706,671
602,Cellulitis with MCC,8380,7919,34781,32121,39433,36433,40788,37679,31691,29280,31982,29490,29891,27660,30821,28501
603,Cellulitis without MCC,41522,37186,156503,132586,157189,133055,164797,139991,176607,149154,173012,146581,152208,130182,146983,126247
604,"Trauma to the Skin, Subcutaneous Tissue and Breast with
MCC",1115,1082,4273,4115,4386,4250,4178,4073,3417,3323,3331,3236,3064,2970,3099,3005
605,"Trauma to the Skin, Subcutaneous Tissue & Breast without
MCC",7342,6898,25780,24060,24102,22656,22963,21649,23189,22008,20273,19319,16650,15898,15985,15230
606,Minor Skin Disorders with MCC,558,542,2104,2033,2603,2513,2471,2375,2050,1962,2024,1942,1884,1824,1973,1920
607,Minor Skin Disorders without MCC,2297,2178,8340,7797,8145,7612,8434,7853,8735,8202,8719,8131,7520,7019,7487,7008
614,Adrenal and Pituitary Procedures with CC/MCC,405,404,1562,1549,1702,1685,1641,1631,1628,1613,1590,1583,1506,1491,1381,1376
615,Adrenal and Pituitary Procedures without CC/MCC,347,347,1463,1459,1433,1425,1444,1439,1298,1289,1306,1299,1112,1107,1023,1020
616,"Amputation of Lower Limb for Endocrine, Nutritional, and
Metabolic Disorders with MCC",319,318,1458,1445,1753,1730,1812,1794,1834,1812,1754,1735,1841,1824,2031,2007
617,"Amputation of Lower Limb for Endocrine, Nutritional, and
Metabolic Disorders with CC",1581,1569,6542,6289,6624,6331,7510,7163,8433,8048,8874,8423,8994,8599,9830,9399
618,"Amputation of Lower Limb for Endocrine, Nutritional, and
Metabolic Disorders without CC/MCC",45,45,181,179,138,138,148,147,135,135,115,114,110,108,100,99
619,O.R. Procedures for Obesity with MCC,187,187,847,846,1004,1004,961,960,877,877,827,826,960,959,1044,1044
620,O.R. Procedures for Obesity with CC,640,640,2650,2649,2952,2948,3014,3010,3297,3292,3158,3153,3776,3770,3944,3940
621,O.R. Procedures for Obesity without CC/MCC,2098,2095,10200,10189,11160,11144,11206,11194,10842,10831,9709,9697,12382,12361,13648,13640
622,"Skin Grafts and Wound Debridement for Endocrine,
Nutritional and Metabolic Disorders with MCC",382,381,1555,1532,1555,1536,1591,1557,1465,1435,1375,1348,1417,1384,1456,1417
623,"Skin Grafts and Wound Debridement for Endocrine,
Nutritional and Metabolic Disorders with CC",793,779,2881,2777,2817,2706,3082,2958,3186,3069,3207,3079,3424,3309,3668,3519
624,"Skin Grafts and Wound Debridement for Endocrine,
Nutritional and Metabolic Disorders without CC/MCC",84,84,279,278,270,266,203,199,246,240,204,203,210,207,199,195
625,"Thyroid, Parathyroid and Thyroglossal Procedures with MCC",339,337,1284,1274,1330,1317,1374,1360,1218,1209,1127,1115,992,988,981,977
626,"Thyroid, Parathyroid and Thyroglossal Procedures with CC",721,720,2796,2775,2841,2811,2744,2717,2822,2803,2386,2372,2143,2129,1664,1659
627,"Thyroid, Parathyroid and Thyroglossal Procedures without
CC/MCC",3213,3184,12884,12679,11936,11738,11067,10856,9825,9680,7787,7698,5823,5756,3485,3454
628,"Other Endocrine, Nutritional and Metabolic O.R. Procedures
with MCC",880,877,3695,3636,3741,3685,4275,4200,3926,3848,3712,3616,3550,3490,3423,3364
629,"Other Endocrine, Nutritional and Metabolic O.R. Procedures
with CC",1018,1008,4215,4118,4598,4450,4993,4824,5489,5316,5139,4971,5021,4871,5096,4914
630,"Other Endocrine, Nutritional and Metabolic O.R. Procedures
without CC/MCC",99,99,454,452,422,420,377,377,408,407,327,325,296,294,279,279
637,Diabetes with MCC,7165,6654,28364,24971,30224,26535,30921,26997,25271,22259,25358,22126,24447,21494,24317,21393
638,Diabetes with CC,14940,14032,55576,49846,54797,49206,57272,51168,63272,55499,60388,52756,53634,47490,51433,45415
639,Diabetes without CC/MCC,13763,12629,45731,40215,39862,35079,36661,32266,33263,29313,28303,25141,23078,20535,20102,18013
640,"MISC DISORDERS OF
NUTRITION,METABOLISM,FLUIDS/ELECTROLYTES W
MCC",18472,17625,77621,71459,87050,79961,88045,80084,68583,61070,68235,60311,63878,56865,64862,57594
641,"MISC DISORDERS OF
NUTRITION,METABOLISM,FLUIDS/ELECTROLYTES W/O
MCC",54965,51731,213500,194740,189309,173231,176964,162270,184071,169042,166227,153264,137464,127899,125838,117065
642,INBORN AND OTHER DISORDERS OF METABOLISM,1309,1182,4335,3592,3947,3330,3679,3029,4095,3373,3784,3066,3282,2746,3147,2625
643,Endocrine Disorders with MCC,1795,1730,7719,7371,8117,7772,8310,7970,7508,7195,7623,7300,7544,7249,7829,7519
644,Endocrine Disorders with CC,3387,3254,13529,12699,13100,12297,13218,12441,14735,13801,14343,13412,12715,11912,12320,11562
645,Endocrine Disorders without CC/MCC,2793,2651,9932,9258,9084,8519,8442,7967,8309,7865,7698,7255,6333,6011,6036,5757
652,KIDNEY TRANSPLANT,2456,2456,10128,10117,10413,10395,10365,10349,10531,10524,9978,9967,9710,9694,9802,9794
653,Major Bladder Procedures with MCC,477,476,2003,2001,2058,2054,1980,1977,1741,1734,1700,1698,1593,1589,1557,1553
654,Major Bladder Procedures with CC,958,958,3670,3664,3536,3530,3637,3630,3789,3781,3803,3794,3865,3851,3721,3713
655,Major Bladder Procedures without CC/MCC,355,355,1424,1423,1371,1366,1343,1342,1431,1427,1386,1384,1359,1358,1338,1336
656,Kidney and Ureter Procedures for Neoplasm with MCC,1154,1149,4501,4468,4849,4811,4741,4704,3423,3400,3390,3374,3108,3087,3197,3184
657,Kidney and Ureter Procedures for Neoplasm with CC,1929,1928,7535,7471,7222,7149,7220,7163,8686,8596,8297,8206,7924,7849,7980,7904
658,Kidney and Ureter Procedures for Neoplasm without CC/MCC,1887,1878,7201,7138,7026,6967,6831,6793,6921,6865,6944,6898,6632,6589,6571,6540
659,Kidney and Ureter Procedures for Non-neoplasm with MCC,1308,1286,5234,5012,5530,5300,5441,5196,4195,4058,4222,4091,4030,3906,4105,3949
660,Kidney and Ureter Procedures for Non-neoplasm with CC,1672,1641,6968,6681,6900,6596,7405,7046,8715,8229,8609,8153,8401,7933,8216,7802
661,"Kidney and Ureter Procedures for Non-neoplasm without
CC/MCC",957,944,3932,3817,3870,3754,4009,3909,4024,3935,3886,3797,3496,3442,3297,3234
662,Minor Bladder Procedures with MCC,266,265,1053,1047,1003,997,994,989,826,825,733,726,700,697,720,717
663,Minor Bladder Procedures with CC,465,463,1814,1799,1775,1753,1738,1720,1746,1735,1630,1616,1487,1464,1389,1376
664,Minor Bladder Procedures without CC/MCC,987,982,3583,3532,3189,3162,2837,2807,2208,2188,1600,1580,1125,1119,888,883
665,Prostatectomy with MCC,193,193,848,845,817,814,776,771,583,583,543,540,488,488,520,520
666,Prostatectomy with CC,548,548,1981,1970,1800,1790,1681,1675,1799,1790,1614,1599,1507,1497,1407,1398
667,Prostatectomy without CC/MCC,815,813,2970,2950,2505,2492,2156,2145,1759,1746,1414,1401,1049,1045,844,839
668,Transurethral Procedures with MCC,1111,1101,5035,4937,5480,5365,5327,5222,3483,3408,3482,3410,3388,3313,3497,3425
669,Transurethral Procedures with CC,3047,3021,12084,11726,11904,11560,12805,12418,15420,14921,14821,14323,14337,13943,13611,13193
670,Transurethral Procedures without CC/MCC,2569,2541,9742,9312,8462,8115,7867,7599,7124,6869,5712,5557,4418,4323,3582,3512
671,Urethral Procedures with CC/MCC,249,249,826,819,781,765,819,805,759,748,738,724,661,650,644,637
672,Urethral Procedures without CC/MCC,188,187,730,710,642,627,645,630,569,562,503,499,434,429,361,359
673,Other Kidney and Urinary Tract Procedures with MCC,3414,3388,13055,12791,12518,12289,12216,12008,11689,11465,10950,10771,9921,9794,9297,9169
674,Other Kidney and Urinary Tract Procedures with CC,2418,2409,9140,9044,8422,8348,8093,8022,8150,8090,7683,7625,6871,6824,6206,6151
675,Other Kidney and Urinary Tract Procedures without CC/MCC,1331,1317,4512,4431,2952,2910,2274,2237,1929,1903,1542,1518,1168,1156,824,817
682,Renal Failure with MCC,26735,25235,111826,100530,107711,96800,109096,98268,113438,102364,115835,104421,111443,101093,113000,102597
683,Renal Failure with CC,33331,31444,135506,123508,122315,111778,128493,117660,168279,153314,169076,154032,155824,142874,150222,137940
684,Renal Failure without CC/MCC,13773,12688,51148,46060,46307,41697,47059,42697,48103,43866,46041,42074,41105,37989,39168,36310
685,ADMIT FOR RENAL DIALYSIS,704,645,2680,2402,2954,2613,3465,3004,3244,2757,3148,2752,2580,2376,2267,2152
686,Kidney and Urinary Tract Neoplasms with MCC,708,680,2560,2394,2508,2364,2276,2137,1711,1610,1639,1558,1548,1455,1634,1533
687,Kidney and Urinary Tract Neoplasms with CC,1179,1105,4324,3912,3853,3498,3891,3558,4317,3928,4097,3731,3578,3320,3633,3388
688,Kidney and Urinary Tract Neoplasms without CC/MCC,830,786,2679,2443,2339,2113,2104,1913,1966,1775,1656,1533,1390,1285,1357,1257
689,Kidney and Urinary Tract Infections with MCC,21651,20553,89470,82130,102256,94400,103009,95043,84628,78184,85149,78808,82121,76145,84340,78007
690,Kidney and Urinary Tract Infections without MCC,64714,58856,240662,208606,233565,201854,243524,211023,260699,225043,246141,213840,211993,185523,199613,175253
691,Urinary Stones with ESW Lithotripsy with CC/MCC,228,227,971,955,942,931,955,943,993,978,913,898,898,890,823,815
692,Urinary Stones with ESW Lithotripsy without CC/MCC,102,101,406,398,356,353,379,375,310,310,272,270,226,225,132,132
693,Urinary Stones without ESW Lithotripsy with MCC,890,880,3619,3517,4681,4544,4574,4472,2464,2394,2494,2428,2449,2394,2491,2432
694,Urinary Stones without ESW Lithotripsy without MCC,4729,4559,17262,16334,16688,15819,17556,16713,19583,18657,19021,18149,17207,16520,16188,15519
695,Kidney and Urinary Tract Signs and Symptoms with MCC,480,462,1779,1701,1821,1771,2002,1940,1664,1610,1843,1784,1683,1629,1700,1654
