HCPC (Health Care Common Procedure Code System) Code ,HCPC (Health Care Common Procedure Code System) Label,# of records with this HCPC code in 2004,# of people with this HCPC code in 2004,# of records with this HCPC code in 2005,# of people with this HCPC code in 2005,# of records with this HCPC code in 2006,# of people with this HCPC code in 2006,# of records with this HCPC code in 2007,# of people with this HCPC code in 2007,# of records with this HCPC code in 2008,# of people with this HCPC code in 2008,# of records with this HCPC code in 2009,# of people with this HCPC code in 2009,# of records with this HCPC code in 2010,# of people with this HCPC code in 2010,# of records with this HCPC code in 2011,# of people with this HCPC code in 2011,# of records with this HCPC code in 2012,# of people with this HCPC code in 2012,# of records with this HCPC code in 2013,# of people with this HCPC code in 2013,# of records with this HCPC code in 2014,# of people with this HCPC code in 2014
82544,COL-CHR/MS STABLE ISOTOPE DIL MLT ANALYTES NES,185,150,160,120,200,160,125,120,5500,5205,9760,8855,5115,4490,2810,2490,2045,1895,3625,3170,1785,1585
82550,CREATINE KINASE TOTAL,3667320,2449900,4022410,2645025,4085800,2661560,4106560,2646810,4174610,2648000,4223255,2636940,4382015,2703300,4499535,2756040,4527610,2762290,4118830,2540445,2968795,1898485
82552,CREATINE KINASE ISOENZYMES,79190,59560,74545,56285,73020,54425,73795,54280,69770,50385,70205,50460,76425,54330,65570,46495,63935,44380,54300,38435,36175,25795
82553,CREATINE KINASE MB FRACTION ONLY,2041545,1434680,2276205,1570810,2372725,1612405,2491010,1665735,2660440,1734475,2773015,1759900,2949665,1834685,3047510,1873430,3006070,1836520,2631580,1621865,1828415,1166895
82554,CREATINE KINASE ISOFORMS,880,720,790,715,190,140,210,170,125,120,550,465,460,390,215,140,385,180,40,40,15,15
82565,CREATININE BLOOD,4289250,2382415,4264485,2371200,4101740,2289120,3924425,2244260,3871700,2232000,3926635,2266355,3878110,2241245,4226750,2260545,4079250,2188910,3773515,2069700,2723180,1631415
82570,CREATININE OTHER SOURCE,499580,384335,614835,462570,732145,541650,840140,609695,946705,673145,1064360,745670,1204200,837995,1466230,970405,1624340,1062345,1754615,1141380,1387330,949870
82575,CREATININE CLEARANCE,208735,172330,190235,158495,170715,141135,144875,119315,121750,99175,113250,92490,102735,82795,95615,75810,84675,65950,77570,58515,53065,40265
82585,ASSAY OF CRYOFIBRN,1015,910,945,820,1260,1150,1355,1250,1605,1460,1515,1390,1720,1525,2310,1870,2055,1615,2055,1720,1475,1330
82595,CRYOGLOBULIN QUALITATIVE/SEMI-QUANTITATIVE,13655,12495,13300,12265,13300,12185,13255,12100,13555,12405,12925,11820,13915,12370,14740,12940,13765,12275,13780,12200,9255,8275
82600,ASSAY OF CYANIDE,65,65,105,95,70,70,85,80,35,35,65,60,135,115,130,120,80,80,75,75,60,60
82607,CYANOCOBALAMIN VITAMIN B-12,1140675,1004945,1202050,1050630,1271625,1103185,1374440,1179085,1529785,1295905,1699720,1427930,1856835,1551745,2040535,1691030,2177320,1794710,2198410,1810975,1825780,1500195
82608,CYANOCOBALAMIN VIT B-12 UNSAT BINDING CAPACITY,2720,2525,2400,2225,1985,1885,1820,1725,2020,1940,1880,1760,1905,1720,1745,1635,1720,1670,1760,1645,1645,1515
82610,CYSTATIN C,0,0,0,0,.,.,0,0,1910,835,2410,1250,3635,1730,3855,2345,4375,2650,5320,2890,3895,2880
82615,CSTINE&HOMOCSTINE URINE QUALITATIVE,5460,4765,4280,3765,2615,2360,1175,1060,580,555,645,595,995,865,1330,1145,1385,1060,1480,1105,700,580
82626,DEHYDROEPIANDROSTERONE,4220,3865,4990,4545,4890,4445,5065,4555,5265,4870,5635,5055,6145,5595,6725,6080,6250,5785,6375,5790,3690,3315
82627,DEHYDROEPIANDROSTERONE-SULFATE,12610,11010,13885,12265,15115,13195,15735,13840,16930,14900,19165,16655,20710,17815,20755,18075,23695,20140,24815,20795,17365,14195
82633,DESOXYCORTICOSTERONE 11-,15,15,20,15,50,45,60,55,55,50,45,30,45,25,55,45,50,45,65,55,50,45
82634,DEOXYCORTISOL 11-,95,90,115,110,135,120,165,130,190,165,145,115,165,130,155,120,130,125,145,125,75,75
82638,ASSAY OF DIBUCAINE NUMBER,60,55,50,50,70,70,50,50,45,45,55,55,45,45,75,75,60,55,35,35,50,50
82646,ASSAY OF DIHYDROCODEINONE,200,160,425,280,260,225,305,270,705,605,875,600,625,425,855,655,2940,2270,3845,2995,5130,3775
82649,ASSAY OF DIHYDROMORPHINONE,90,80,130,105,60,60,105,75,580,505,145,135,85,70,75,65,1915,1525,2720,2050,4205,2995
82651,ASSAY OF DIHYDROTSTOSTERONE,995,675,1285,880,1535,955,1405,955,1460,960,1505,1030,2125,1460,2940,2040,3075,2240,3200,2215,2600,1730
82652,1 25 DIHYDROXY INCLUDES FRACTIONS IF PERFORMED,32495,28335,45635,39750,63585,54965,91655,78690,138225,118590,166105,143910,166235,143570,142385,121095,135515,116955,118515,103605,87130,76415
82654,ASSAY OF DIMETHADIONE,0,0,.,.,.,.,0,0,15,15,.,.,30,30,0,0,0,0,0,0,0,0
82656,ELASTASE PANCREATIC FECAL QUAL/SEMI-QUAN,0,0,145,145,195,190,500,455,510,490,725,700,835,810,1140,1085,1895,1775,3030,2940,3010,2880
82657,NZYM ACTIV BLD CELLS/TISS NONRADACT SUBSTRATE EA,1590,1545,1985,1925,2505,2395,2905,2665,2865,2630,3320,3080,3270,3020,3695,3460,4255,3995,3725,3510,2560,2395
82658,NZYM ACTV BLOOD CELLS/TISS RADACT SUBSTRATE EA,45,40,70,65,70,70,65,60,85,85,110,95,70,65,55,55,55,55,55,50,.,.
82664,ELCTROPHORETIC TECHNIQUE NOT ELSEWHERE SPECIFIED,4005,3440,6900,5080,3235,2825,3360,2560,3290,2320,3545,2480,4645,3370,4275,3230,4400,3405,4620,3535,3215,2610
82666,ASSAY OF EPIANDROSTERONE,0,0,0,0,0,0,0,0,70,70,0,0,0,0,0,0,0,0,0,0,.,.
82668,ASSAY OF ERYTHROPOIETIN,55690,50945,56630,51640,58840,54035,55205,50330,54585,49480,53770,48335,52865,47595,51605,46665,50840,45855,50675,45895,42780,38435
82670,ASSAY OF ESTRADIOL,23645,21030,26405,22900,27030,23445,28320,24305,29935,25625,38280,32900,39875,33545,42535,35540,46060,38550,48540,40290,28640,22965
82671,ASSAY OF ESTROGENS FRACTIONATED,1115,1045,1105,1025,1265,1190,1235,1180,1400,1335,2070,1940,2045,1895,2035,1895,1955,1770,1940,1825,1025,900
82672,ASSAY OF ESTROGENS TOTAL,4405,3980,3640,3330,3600,3305,3505,3245,3575,3340,4690,4395,4125,3910,4290,4060,4995,4605,4530,4200,2335,2105
82677,ASSAY OF ESTRIOL,2580,2490,2915,2845,2770,2620,3010,2875,2990,2840,3210,3090,3050,2930,3280,3065,3460,3155,2715,2585,745,680
82679,ASSAY OF ESTRONE,1310,1220,1380,1295,1740,1535,1915,1605,2130,1755,3100,2675,2890,2510,3210,2690,3310,2920,4220,3525,2860,2485
82690,ASSAY OF ETHCHLORVYNOL,770,435,20,20,35,35,60,60,15,15,0,0,35,35,.,.,20,20,20,15,0,0
82693,ASSAY OF ETHYLENE GLYCOL,100,100,135,125,120,115,230,185,300,245,330,280,285,270,435,410,255,245,190,190,85,75
82696,ASSAY OF ETIOCHOLANOLONE,15,15,.,.,0,0,.,.,.,.,15,15,30,25,.,.,0,0,0,0,0,0
82705,FAT/LIPIDS FECES QUALITATIVE,9470,8805,9705,9085,10380,9630,10485,9800,10780,10065,10520,9740,11850,11055,12225,11420,11975,11075,12260,11460,9360,8700
82710,FAT/LIPIDS FECES QUANTITATIVE,3285,3090,2900,2790,2890,2750,3135,2970,3370,3195,3450,3245,3540,3385,3025,2850,3625,3375,3715,3485,2865,2730
82715,FAT DIFFIAL FECES QUANTITATIVE,330,330,315,310,340,315,315,305,460,410,440,375,245,220,330,285,320,280,260,235,120,110
82725,FATTY ACIDS NONESTERIFIED,875,615,1480,735,950,640,220,215,230,210,210,195,185,165,180,145,245,185,360,130,185,160
82726,VERY LONG CHAIN FATTY ACIDS,375,340,330,325,1230,945,525,480,330,330,235,215,435,390,505,410,385,305,340,305,150,140
82728,ASSAY OF FERRITIN,918370,616805,994795,655910,1110580,720290,1210795,770440,1304125,826035,1403440,875410,1485495,925695,2872920,1251350,3178040,1293860,3386430,1304205,2211490,983495
82731,FTL FIBRONECTIN CERVICOVAG SECRETIONS SEMI-QUAN,690,570,890,690,1205,920,1285,995,1710,1315,1755,1405,1860,1525,1895,1525,2000,1615,1875,1490,0,0
82735,ASSAY OF FLUORIDE,100,60,100,55,130,65,95,65,80,65,75,60,145,105,165,110,80,70,65,55,50,50
82742,ASSAY OF FLURAZEPAM,45,45,20,20,50,45,.,.,.,.,.,.,15,15,210,205,355,330,195,190,135,130
82746,ASSAY OF FOLIC ACID SERUM,649720,593235,675405,612370,709380,640690,762450,682665,824630,732735,896595,790300,953845,837185,1058315,912640,1092195,937130,1079935,923125,844855,723225
82747,ASSAY OF FOLIC ACID RBC,51030,48545,50760,48315,50965,48310,53800,50760,56170,52615,62425,57860,66555,61410,65145,60405,60365,55555,52100,48255,33835,31390
82757,ASSAY OF FRUCTOSE SEMEN,375,350,20,20,25,25,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0
82759,ASSAY OF GALACTOKINASE RBC,25,25,20,20,.,.,20,20,.,.,65,60,30,30,0,0,0,0,0,0,0,0
82760,ASSAY OF GALACTOSE,40,35,.,.,25,20,.,.,.,.,15,15,.,.,.,.,20,20,.,.,0,0
82775,GALACTOSE-1-PHOSPHATE URIDYL TRANSFERASE QUAN,20,20,340,155,220,180,65,60,15,15,15,15,30,30,25,25,15,15,.,.,.,.
82776,GALACTOSE-1-PHOSPHATE URIDYL TRANSFERASE SCREEN,.,.,.,.,15,15,0,0,0,0,25,25,.,.,.,.,0,0,0,0,0,0
82777,GALECTIN 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,150,150,150
82784,ASSAY OF GAMMAGLOBULIN IGA IGD IGG IGM EACH,272425,129920,298445,142845,325935,156460,361540,172540,404740,184770,445475,198625,496515,221205,552880,241660,623070,263975,647810,276680,558670,230310
82785,ASSAY OF GAMMAGLOBULIN IGE,30885,28140,35825,32250,38735,35230,40000,36295,41515,37720,44890,40900,50330,45450,54620,49175,57860,52045,59260,53050,45740,40560
82787,GAMMAGLOBULIN IMMUNOGLOBULIN SUBCLASSES,6505,4450,8600,5575,9030,5950,9620,6210,11115,7100,12920,7925,15140,8990,17375,10265,19895,12060,22465,13550,17190,10005
82800,GASES BLOOD PH ONLY,7500,6325,7685,6590,6595,5685,8445,6615,9710,7290,8415,6855,9170,7500,10145,8450,10500,8950,11450,9660,9395,8340
82803,BLOOD GASES ANY COMBINATION PH PCO2 PO2 CO2 HCO3,429760,329640,427380,325825,401385,301330,375740,278090,365640,273875,354535,261880,362245,264455,377225,272530,375635,274095,366975,274480,280190,211645
82805,GASES BLOOD PH DIRECT MEAS XCPT PULSE OXIMITRY,203520,159705,197255,156045,191220,146630,180165,138140,173955,131745,171060,127855,169565,127510,184020,133515,185180,136875,185105,135885,137515,105725
82810,GASES BLOOD O2 SATURATION ONLY DIRECT MEAS,18600,14535,19435,15340,18840,14955,19660,15320,20960,15975,23545,16670,25840,18135,21450,14400,22950,15245,21370,14820,16430,11675
82820,HGB-O2 AFFINITY PO2 50% SATURATION OXYGEN,4465,3890,4785,4320,4520,3935,4030,3410,4200,3515,4225,3445,5755,4275,5715,4260,6180,4220,5645,4255,4445,2950
82926,GSTR ACID FR&TOT EA SPEC,9865,870,9275,1185,7435,1765,3165,1610,2005,1150,65,45,110,50,0,0,0,0,0,0,0,0
82928,GSTR ACID FR/TOT EA SPEC,20,20,15,15,35,35,90,85,20,20,20,20,20,20,0,0,0,0,0,0,0,0
82930,GASTRIC ACID ANALYIS W/PH EACH SPECIMEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,60,70,70,70,60,70,70
82938,GASTRIN AFTER SECRETIN STIMULATION,45,35,45,45,30,25,45,35,85,80,100,60,50,45,55,50,75,65,35,35,.,.
82941,ASSAY OF GASTRIN,10045,9015,10005,8730,9815,8470,9525,8180,10415,8640,10190,8515,10830,8660,10325,8375,10050,8080,9330,7890,6675,5400
82943,ASSAY OF GLUCAGON,1855,1545,1960,1570,1245,1055,980,795,1015,755,980,800,1000,715,1165,865,1060,815,1070,815,725,575
82945,GLUCOSE BODY FLUID OTHER THAN BLOOD,67765,60020,70855,61955,66595,58250,67650,57930,67960,57370,68895,58100,69540,59295,70740,60685,71745,61885,68100,59935,49800,43435
82946,GLUCOSE TOLERANCE TEST,115,115,150,125,375,70,70,70,20,20,40,35,65,65,170,135,35,35,.,.,0,0
82947,GLUCOSE QUANTITATIVE BLOOD XCPT REAGENT STRIP,2619040,1461935,2518335,1455785,2322615,1368705,2069405,1248325,1934710,1154135,1877930,1115720,1854555,1082045,1937790,1059780,1890450,997455,1727740,913215,1242875,667795
82948,GLUCOSE BLOOD REAGENT STRIP,1091180,256755,1115325,287020,1223800,315520,945625,334535,1010395,367560,1162000,397875,1239495,408405,1256055,423920,1236260,410885,1139295,392230,799670,293000
82950,GLUCOSE POST GLUCOSE DOSE,31905,21350,37425,23690,48530,26105,25225,21920,22745,20595,21865,19515,17055,15495,16235,14440,15815,13600,12555,11310,4710,4160
82951,GLUCOSE TOLERANCE TEST GTT 3 SPECIMENS,37650,36085,38500,37760,40705,39865,37970,36930,36585,35235,31780,30955,24380,23695,20905,20425,17595,17250,14820,14365,8985,8595
82952,GLUCOSE TOLERANCE EA ADDL BEYOND 3 SPECIMENS,26535,23540,26590,23810,27105,24310,24855,22115,23010,20000,21110,18045,15775,13705,13385,11685,11260,9690,8925,7770,5245,4380
82953,GLUC TOLBUTAMIDE TOLERANCE TST,115,105,105,85,35,35,.,.,0,0,0,0,.,.,0,0,0,0,.,.,.,.
82955,GLUC-6-PHOSPHATE DEHYDROGENASE QUANTITATIVE,3995,3845,4130,3855,3970,3755,4625,4385,4845,4535,5525,5165,5400,5125,6145,5850,6855,6405,6960,6655,4495,4315
82960,GLUC-6-PHOSPHATE DEHYDROGENASE SCREEN,2845,1920,2645,1990,2280,1580,2310,1685,2340,1645,2515,2050,2120,1920,2525,2195,2440,1960,3040,2265,1395,1235
82962,GLUC BLD GLUC MNTR DEV CLEARED FDA SPEC HOME USE,13242320,518820,12184505,612390,6671230,639330,3236260,649085,2678545,691785,2482900,753705,2617655,834290,3053265,952280,3112100,1031950,3233110,1063465,2382675,843905
82963,ASSAY OF GLUCOSIDASE BETA,235,90,235,90,50,40,30,30,25,25,6885,2750,6270,2875,20,15,25,15,20,20,.,.
82965,ASSAY OF GLUTAMATE DEHYDROGENASE,75,70,270,140,25,25,40,35,15,15,40,30,55,45,80,50,50,40,975,125,1785,175
82975,ASSAY OF GLUTAMINE,15,15,.,.,30,30,80,70,30,30,20,20,25,25,45,45,75,45,55,45,0,0
82977,ASSAY OF GLUTAMYLTRASE GAMMA,492440,268615,474030,259130,446290,241130,414465,221490,400730,207355,395930,200195,388450,196175,376155,187520,354855,178435,319245,160965,202125,108810
82978,ASSAY OF GLUTATHIONE,.,.,65,15,.,.,35,30,.,.,25,25,45,25,15,15,50,40,60,50,.,.
82979,ASSAY OF GLUTATHIONE REDUCTASE RBC,0,0,0,0,0,0,0,0,0,0,.,.,0,0,0,0,.,.,0,0,0,0
82980,ASSAY OF GLUTETHIMIDE,575,425,25,25,.,.,.,.,25,25,20,20,55,50,40,40,25,25,35,35,.,.
82985,ASSAY OF GLYCATED PROTEIN,12030,8365,13375,8825,15390,9825,14480,9775,17270,12130,16435,11175,16945,11595,18435,12515,20250,13990,20865,14530,17170,11820
83001,GONADOTROPIN FOLLICLE STIMULATING HORMONE,48985,45800,51020,47590,52060,48250,52300,48250,53300,49310,60740,56185,60750,55670,62710,57340,67760,62060,64125,59160,23900,21305
83002,GONADOTROPIN LUTEINIZING HORMONE,35435,33105,37730,35160,38550,35765,39610,36710,40845,37865,46510,43270,48205,44435,51240,46645,55760,50885,52440,48050,23810,21305
83003,ASSAY OF GROWTH HORMONE HUMAN,3875,3355,4440,3725,4445,3825,4930,4195,4930,4105,4760,3990,5375,4385,5340,4340,5425,4225,5155,4155,3215,2690
83008,ASSAY OF GUANOSINE MONOPHOSPHATE CYCLIC,.,.,0,0,0,0,0,0,.,.,0,0,.,.,.,.,0,0,.,.,0,0
83009,HPYLORI BLOOD ANAL UREASE ACT NON-RADACT ISOTOPE,0,0,2170,2130,2695,2615,2820,2750,2255,2215,2090,2020,1935,1900,2195,2150,1880,1800,1320,1285,800,765
83010,ASSAY OF HAPTOGLOBIN QUANTITATIVE,39715,32795,40150,33060,42540,35835,46925,38045,51915,41580,54295,43225,55510,44835,60130,48175,67770,51800,71225,54800,61305,47135
83012,ASSAY OF HAPTOGLOBIN PHENOTYPES,50,50,65,60,25,25,20,20,.,.,.,.,0,0,0,0,.,.,0,0,.,.
83013,HPYLORI BREATH ANAL UREASE ACT NON-RADACT ISTOPE,19490,19020,14560,14205,12535,12165,10455,10165,9250,9020,8765,8475,8200,7890,8390,8030,8890,8510,9280,8860,8220,7680
83014,HPYLORI DRUG ADMINISTRATION,2065,1950,1900,1800,2010,1895,2045,1955,2010,1900,2310,2175,2305,2190,2515,2375,2895,2740,3060,2845,2890,2680
83015,HEAVY METAL SCREEN,1985,1870,1750,1715,1680,1650,1425,1400,1480,1400,1305,1235,1265,1190,1050,1000,1080,1055,1035,955,650,630
83018,HEAVY METAL QUANTIATIVE EACH,1725,1525,1645,1465,1715,1450,1625,1365,1555,1305,1690,1390,2185,1775,3825,2970,4750,3820,7490,5995,7035,5820
83020,HEMOGLOBIN FRACTJ/QUANTJ ELECTROPHORESIS,22395,15910,18910,14405,17805,13245,16760,12425,16175,12175,16565,12185,16330,12090,16785,12540,16765,12605,19365,10950,8690,6375
83021,HEMOGLOBIN FRACTJ/QUANTJ CHROMOTOGRAPHY,16095,10870,18080,13730,11185,8825,19760,13835,20845,14935,20225,14580,21735,15015,26220,17650,23265,15485,21905,14410,11465,8495
83026,HEMOGLOBIN COPPER SULFATE METHOD NON-AUTOMATED,905,635,1455,410,1100,390,1015,310,985,320,990,275,730,180,760,310,465,230,520,250,385,145
83030,HEMOGLOBIN F FETAL CHEMICAL,665,565,535,480,485,305,400,335,1045,760,1035,625,1005,720,365,255,235,175,165,125,45,40
83033,HEMOGLOBIN F FETAL QUALITATIVE,30,30,25,25,25,25,.,.,15,15,.,.,20,15,50,25,35,25,15,15,.,.
83036,HEMOGLOBIN GLYCOSYLATED A1C,4516670,2471490,4797690,2630850,5006560,2735355,5121420,2797355,5202655,2858775,5383275,2983695,5767115,3234440,6155890,3486185,6390105,3667395,6562065,3806860,5580950,3223335
83037,HGB GLYCOSYLATED DEVICE CLEARED FDA HOME USE,0,0,0,0,3790,2490,4585,2680,10665,6905,12710,8670,10045,6755,7980,5505,12820,8310,14380,10105,8145,5460
83045,HEMOGLOBIN METHEMOGLOBIN QUALITATIVE,2410,1960,2615,2095,2320,1870,2475,1925,2585,2120,2885,2145,2760,2135,2880,2250,2835,2275,2705,2330,1725,1530
83050,HEMOGLOBIN METHEMOGLOBIN QUANTITATIVE,33190,27920,33400,28165,31860,26595,29400,24895,29050,24640,29010,24870,31725,25985,35375,27325,34485,27730,37980,29655,31775,25160
83051,ASSAY OF HEMOGLOBIN PLASMA,1470,1010,1960,1405,2265,1545,2615,1660,3205,1610,4680,2065,5415,2260,6785,2785,9150,3875,11720,4970,8400,4455
83055,HEMOGLOBIN SULFHEMOGLOBIN QUALITATIVE,170,125,350,65,225,145,210,180,85,80,115,65,165,130,95,60,.,.,0,0,0,0
83060,HEMOGLOBIN SULFHEMOGLOBIN QUANTITATIVE,1555,995,1580,925,1850,935,640,505,675,580,275,240,170,165,90,90,125,110,150,135,70,65
83065,HEMOGLOBIN THERMOLABILE,0,0,.,.,0,0,.,.,0,0,.,.,0,0,.,.,35,35,55,55,.,.
83068,HEMOGLOBIN UNSTABLE SCREEN,300,280,235,220,165,150,160,145,230,225,170,170,120,120,205,160,230,205,100,95,70,65
83069,ASSAY OF HEMOGLOBIN URINE,180,160,220,205,85,85,80,75,85,80,30,30,50,50,30,30,40,35,45,40,80,60
83070,ASSAY OF HEMOSIDERIN QUALITATIVE,1415,1190,1385,1160,1345,1180,1200,1060,1075,1005,1120,1020,1175,1095,1185,1115,1175,1105,865,770,860,740
83071,ASSAY OF HEMOSIDERIN QUANTITATIVE,50,50,25,25,50,50,65,60,65,60,45,40,35,35,85,85,120,115,70,70,25,25
83080,ASSAY OF B-HEXOSAMINIDASE EACH ASSAY,135,125,80,80,90,85,155,150,150,150,60,60,135,135,150,130,155,145,125,125,70,70
83088,ASSAY OF HISTAMINE,530,455,500,470,730,615,685,615,1095,895,1195,1000,1150,1020,855,755,870,735,645,575,660,505
83090,ASSAY OF HOMOCYSTEINE,244475,208965,270370,230540,201450,176730,150505,133025,128590,114015,127105,111190,118035,104405,106410,95215,102940,92635,97080,87620,80590,71340
83150,ASSAY OF HOMOVANILLIC ACID,605,580,680,665,535,525,390,390,590,550,280,275,390,375,295,275,305,285,200,200,125,115
83491,HYDROXYCORTICOSTEROIDS 17,495,475,460,425,430,390,325,305,365,335,345,290,295,270,170,150,190,155,120,110,100,90
83497,ASSAY OF HYDROXYINDOLACETIC ACID 5-HIAA,9830,8240,10655,8970,10940,9135,10825,8950,10815,8915,11190,9300,11900,9910,11985,9885,12210,9890,12105,9940,9200,7530
83498,ASSAY OF HYDROXYPROGESTERONE 17-D,1045,955,1195,1120,1365,1285,1280,1220,1335,1175,1645,1450,1755,1545,1840,1635,1955,1805,2045,1870,875,770
83499,ASSAY OF HYDROXYPROGESTERONE 20-,25,20,0,0,15,15,.,.,.,.,.,.,.,.,0,0,0,0,0,0,0,0
83500,ASSAY OF HYDROXYPROLINE FREE,100,95,115,110,100,95,110,90,115,110,125,110,95,90,60,60,80,50,40,40,40,35
83505,ASSAY OF HYDROXYPROLINE TOTAL,435,410,420,405,345,335,265,240,285,270,280,265,125,120,140,130,140,110,.,.,.,.
83516,IMMUNOASSAY ANALYTE QUAL/SEMIQUAL MULTIPLE STEP,54415,44750,78970,65915,82425,66970,97100,77600,112860,88490,130715,98675,156840,114515,174820,125565,193535,136600,201525,141885,148535,108115
83518,IMMUNOASSAY ANALYTE QUAL/SEMIQUAL SINGLE STEP,3885,3335,4230,3615,4300,3575,5060,3875,5555,4470,5685,4485,4025,3305,2720,1915,2330,1635,1290,730,1135,495
83519,IMMUNOASSAY ANALYTE QUANT RADIOIMMUNOASSAY,47360,35710,59210,42815,65070,46830,60310,43620,57475,44055,59270,44080,58615,42675,58145,42460,60945,43885,62460,45335,52070,37950
83520,IMMUNOASSAY ANALYTE QUANTITATIVE NOS,144430,111410,158925,123210,137730,105805,116575,90685,108905,82060,108660,78785,108785,77245,112585,77950,111690,77295,117250,79290,97525,62875
83525,ASSAY OF INSULIN TOTAL,25060,21640,27335,23890,28640,24770,28670,24400,29360,25160,32005,26455,31780,25985,33745,27555,33265,27750,32570,27370,22900,18600
83527,ASSAY OF INSULIN FREE,160,140,185,180,255,225,320,265,335,280,535,490,355,330,480,470,470,445,495,455,390,335
83528,ASSAY OF INTRINSIC FACTOR,55,55,55,55,15,15,75,65,45,45,75,65,70,65,45,45,70,70,30,30,25,25
83540,ASSAY OF IRON,1023170,676165,1100610,716125,1212865,778530,1291000,818710,1384880,877260,1477220,923270,1558770,975935,3843890,1303035,4179125,1341915,4385115,1343780,2683725,1012540
83550,IRON BINDING CAPACITY,822310,546045,869535,568725,938820,605550,984610,626105,1042120,661660,1097910,686740,1139595,717140,2934955,979910,3192245,1003775,3416845,1018245,2031295,754740
83570,ISOCITRIC DEHYDROGENASE,650,375,660,430,775,560,590,485,550,470,400,365,245,225,275,235,285,235,330,260,60,55
83582,ASSAY OF KETOGENIC STEROIDS FRACTIONATION,35,35,30,30,55,55,.,.,30,30,85,75,40,40,15,15,40,40,35,25,0,0
83586,ASSAY OF KETOSTEROIDS 17- TOTAL,795,780,505,485,625,600,580,545,350,340,365,350,335,305,310,295,220,215,235,220,115,110
83593,KETOSTEROIDS 17- FRACTIONATION,75,75,135,130,155,150,100,95,95,95,60,50,55,40,40,40,25,25,25,25,0,0
83605,ASSAY OF LACTATE,40635,32270,48920,39900,66585,53855,90420,73675,127290,104475,165965,136420,232265,189410,333515,271410,450965,370970,606430,499215,597545,497745
83615,LACTATE DEHYDROGENASE LDH,1385210,689070,1402575,679310,1387865,655705,1379855,639435,1390240,627385,1393360,618035,1441370,626185,1574525,643740,1631515,640560,1606700,624740,1226495,486040
83625,LACTATE DEHYDROGENASE ISOENZYMES SEP&QUAN,3830,3230,3450,2995,3255,2830,2860,2135,2785,1745,2520,1780,2760,1825,3035,2185,2775,1945,3050,1990,6535,2820
83630,LACTOFERRIN FECAL QUALITATIVE,0,0,2585,2425,3700,3460,5030,4645,6320,5835,10215,9500,16990,15695,23745,22010,28510,26485,32105,29895,27520,25740
83631,LACTOFERRIN FECAL QUANTITATIVE,0,0,0,0,450,395,430,370,585,475,595,530,490,445,530,500,765,715,835,765,930,885
83632,LACTOGEN HPL HUMAN CHORIONIC SOMATOMAMMOTROPIN,.,.,40,40,50,45,45,45,25,25,15,15,.,.,.,.,.,.,.,.,0,0
83633,LACTOSE URINE QUALITATIVE,.,.,45,45,0,0,.,.,0,0,.,.,0,0,.,.,.,.,0,0,0,0
83634,LACTOSE URINE QUANTITATIVE,0,0,105,75,210,140,210,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83655,ASSAY OF LEAD,13450,12700,13775,13115,14070,13530,14990,14135,15535,14800,15985,15220,16960,16010,16180,15165,15645,14870,15295,14450,11735,11065
83661,FETAL LUNG MATURITY LECITHIN SPHINGOMYELIN RATIO,85,80,95,85,95,85,70,65,390,355,105,75,110,100,75,65,35,35,.,.,.,.
83662,FETAL LUNG MATURITY FOAM STABILITY TEST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83663,FETAL LUNG MATURITY FLUORESCENCE POLARIZATION,65,55,50,50,80,55,65,65,50,50,95,85,75,75,90,80,25,25,15,15,0,0
83664,FETAL LUNG MATURITY LAMELLAR BODY DENSITY,30,30,.,.,20,20,25,25,20,20,50,45,25,25,25,25,60,55,25,25,.,.
83670,LEUCINE AMINOPEPTIDASE LAP,125,120,205,195,145,135,210,200,195,190,715,640,420,410,200,190,115,115,65,65,75,70
83690,ASSAY OF LIPASE,1092295,858075,1222645,954565,1346140,1043980,1427250,1102995,1531580,1173460,1644000,1243460,1827600,1367165,1972190,1465160,2146040,1583110,2141435,1599725,1443590,1174845
83695,LIPOPROTEIN A,0,0,0,0,20845,17570,18015,14875,16335,13285,15370,12715,15320,12810,13345,11150,11990,10175,11415,9650,9520,7865
83698,LIPOPROTEIN-ASSOCIATED PHOSPHOLIPASE A2,0,0,0,0,0,0,6430,5335,6865,6105,4800,4120,3700,3375,2650,2285,3060,2775,3260,2750,3525,2980
83700,LIPOPROTEIN BLOOD ELECTROPHORECTIC SEP&QUAN,0,0,0,0,9605,7265,10820,8080,7650,6420,3645,3005,1280,1095,1125,1020,1115,955,4415,3470,3420,2670
83701,LIPOPROTEIN BLOOD HIGH RESOLTJ&QUANTJ SUBCLASSES,0,0,0,0,38530,31065,35240,28205,39355,30980,36795,28940,34415,27390,33045,26855,29640,24570,24650,20570,17610,14960
83704,LIPOPROTEIN BLOOD QUAN NUMBERS&SUBCLASSES,0,0,0,0,5705,4425,8285,6645,12615,10305,17625,13770,21060,16505,25290,20145,34690,27465,40185,31640,31365,24480
