hcpcs_cdH – CPC (Health Care Common Procedure Code System) Code ,Format value long labelH – CPC (Health Care Common Procedure Code System) Long Label,Format value short labelH – CPC (Health Care Common Procedure Code System) Short Label,Nrecs2004# -  of records with this HCPC code in 2004,nppl_any2004# -  of people with this HCPC code in 2004,Nrecs2005 - # of records with this HCPC code in 2005,nppl_any2005 - # of people with this HCPC code in 2005,Nrecs2006 - # of records with this HCPC code in 2006,nppl_any2006 - # of people with this HCPC code in 2006,Nrecs2007 - # of records with this HCPC code in 2007,nppl_any2007 - # of people with this HCPC code in 2007,Nrecs2008 - # of records with this HCPC code in 2008,nppl_any2008 - # of people with this HCPC code in 2008,Nrecs2009 - # of records with this HCPC code in 2009,nppl_any2009 - # of people with this HCPC code in 2009,Nrecs2010 - # of records with this HCPC code in 2010,nppl_any2010 - # of people with this HCPC code in 2010,Nrecs2011 - # of records with this HCPC code in 2011,nppl_any2011 - # of people with this HCPC code in 2011,Nrecs2012 - # of records with this HCPC code in 2012,nppl_any2012 - # of people with this HCPC code in 2012,Nrecs2013 - # of records with this HCPC code in 2013,nppl_any2013 - # of people with this HCPC code in 2013,Nrecs2014 - # of records with this HCPC code in 2014,nppl_any2014 - # of people with this HCPC code in 2014
71090,INSJ PM FLUOR&RADIOGRAPY RS&I,INSJ PM FLUOR&RADIOGRAPY RS&I,226875,202405,250780,223355,244775,217630,242180,214140,243035,216090,242970,220035,243720,220090,230265,206730,.,.,.,.,0,0
71100,"RADIOLOGIC EXAMINATION, RIBS, UNILATERAL; 2 VIEWS",RADEX RIBS UNILATERAL 2 VIEWS,353955,308325,367145,312465,350945,299965,347815,297355,332600,285765,319300,274285,313995,271040,302010,260585,285205,246495,272245,232750,261770,221430
71101,"RADIOLOGIC EXAMINATION, RIBS, UNILATERAL; INCLUDING POSTEROANTERIOR
CHEST, MINIMUM OF 3 VIEWS",RADEX RIBS UNI W/POSTEROANT CH MINIMUM 3 VIEWS,237815,210465,242580,210840,236330,206325,238410,207870,241270,211410,245030,213420,250470,219115,262195,228820,273355,238780,280030,244275,295950,257350
71110,"RADIOLOGIC EXAMINATION, RIBS, BILATERAL; 3 VIEWS",RADEX RIBS BILATERAL 3 VIEWS,46970,42660,49510,43260,46655,41250,46350,40750,44225,39700,42115,37770,38890,34790,38390,34585,36190,32720,35770,31535,34570,30215
71111,"RADIOLOGIC EXAMINATION, RIBS, BILATERAL; INCLUDING POSTEROANTERIOR
CHEST, MINIMUM OF 4 VIEWS",RADEX RIBS BI W/POSTEROANT CH MINIMUM 4 VIEWS,33065,29665,33735,29530,31005,27435,31555,28305,30105,27035,29340,26580,29570,26400,30785,27595,31465,28350,31310,28325,33145,29655
71120,"RADIOLOGIC EXAMINATION; STERNUM, MINIMUM OF 2 VIEWS",RADEX STERNUM MINIMUM 2 VIEWS,24305,22260,22650,20455,20935,18795,19735,17780,18295,16670,16745,15335,16795,15265,16190,14795,15575,13965,15785,14120,14830,13065
71130,"RADIOLOGIC EXAMINATION; STERNOCLAVICULAR JOINT OR JOINTS, MINIMUM OF 3
VIEWS",RADEX STERNOCLAVICULAR JT/JTS MINIMUM 3 VIEWS,3595,3300,3485,3125,3335,3030,3365,2935,2855,2550,2560,2350,2480,2255,2760,2475,2505,2305,2650,2390,2550,2210
71250,"COMPUTED TOMOGRAPHY, THORAX; WITHOUT CONTRAST MATERIAL",CT THORAX W/O CONTRAST MATERIAL,989000,758275,1123570,849010,1240500,925815,1382065,1015980,1446475,1061440,1507800,1103950,1488120,1101640,1538795,1143110,1572720,1169950,1643705,1224265,1746110,1303595
71260,"COMPUTED TOMOGRAPHY, THORAX; WITH CONTRAST MATERIAL(S)",CT THORAX W/CONTRAST MATERIAL,2103410,1487835,2262825,1582805,2244420,1565700,2189735,1519540,2092515,1445690,1992570,1386455,1939970,1366150,1911855,1346405,1863310,1302050,1800095,1263190,1775225,1240830
71270,"COMPUTED TOMOGRAPHY, THORAX; WITHOUT CONTRAST MATERIAL, FOLLOWED
BY CONTRAST MATERIAL(S) AND FURTHER SECTIONS",CT THORAX W/O & W/CONTRAST MATERIAL,203510,172650,222060,185750,227655,190295,226545,188030,212935,175620,205720,170610,182340,152855,153070,130105,128480,108855,113230,97120,105150,89940
71275,"COMPUTED TOMOGRAPHIC ANGIOGRAPHY, CHEST (NONCORONARY), WITH
CONTRAST MATERIAL(S), INCLUDING NONCONTRAST IMAGES, IF PERFORMED,
AND IMAGE POSTPROCESSING",CT ANGIOGRAPHY CHEST W/CONTRAST/NONCONTRAST,245590,217700,373735,325900,471025,402720,547240,466185,611185,524840,630575,544005,631280,545800,699430,605820,781065,674700,827390,714645,879470,759030
71550,"MAGNETIC RESONANCE (EG, PROTON) IMAGING, CHEST (EG, FOR EVALUATION OF
HILAR AND MEDIASTINAL LYMPHADENOPATHY); WITHOUT CONTRAST
MATERIAL(S)",MRI CHEST W/O CONTRAST MATERIAL,9655,8380,8940,7790,8715,7545,8965,7890,8480,7345,7410,6200,7365,6130,6730,5505,5850,5190,6170,5295,6505,5400
71551,"MAGNETIC RESONANCE (EG, PROTON) IMAGING, CHEST (EG, FOR EVALUATION OF
HILAR AND MEDIASTINAL LYMPHADENOPATHY); WITH CONTRAST MATERIAL(S)",MRI CHEST W/CONTRAST MATERIAL,735,690,700,620,555,520,595,570,545,455,400,385,380,320,360,305,310,275,290,280,235,220
71552,"MAGNETIC RESONANCE (EG, PROTON) IMAGING, CHEST (EG, FOR EVALUATION OF
HILAR AND MEDIASTINAL LYMPHADENOPATHY); WITHOUT CONTRAST
MATERIAL(S), FOLLOWED BY CONTRAST MATERIAL(S) AND FURTHER SEQUENCES",MRI CHEST W/O & W/CONTRAST MATERIAL,8125,6950,8820,7530,8810,7685,8410,7015,6745,5850,6670,5715,6350,5355,6515,5585,6830,5735,6760,5965,6390,5580
71555,"MAGNETIC RESONANCE ANGIOGRAPHY, CHEST (EXCLUDING MYOCARDIUM), WITH
OR WITHOUT CONTRAST MATERIAL(S)",MRA CHEST W/O & W/CONTRAST MATERIAL,15370,12135,16325,12870,16645,13015,13170,10265,11460,8675,9695,8070,9750,7995,10950,8810,10885,8875,10540,8650,10565,8750
72010,"RADIOLOGIC EXAMINATION, SPINE, ENTIRE, SURVEY STUDY, ANTEROPOSTERIOR
AND LATERAL",RADEX SPINE ENTIRE SURVEY STD ANTEROPOST & LAT,131010,114280,132490,110835,115065,95515,93375,77185,82550,68590,74100,62910,68200,58375,63705,54040,57365,48300,54005,45660,51700,43005
72020,"RADIOLOGIC EXAMINATION, SPINE, SINGLE VIEW, SPECIFY LEVEL",RADEX SPINE 1 VIEW SPECIFY LEVEL,339270,244675,320875,226500,300575,210185,282885,199730,272015,192740,264435,189475,258045,183955,248400,177285,248645,176060,243515,172850,235060,166310
72040,"RADIOLOGIC EXAMINATION, SPINE, CERVICAL; 2 OR 3 VIEWS",RADEX SPINE CERVICAL 3 VIEWS OR LESS,740930,588965,775755,604190,750825,580075,738955,565210,714025,546905,710740,544770,713580,543965,722085,549290,731925,553365,731995,550780,743205,552790
72050,"RADIOLOGIC EXAMINATION, SPINE, CERVICAL; 4 OR 5 VIEWS",RADEX SPINE CERVICAL MINIMUM 4 VIEWS,598815,539005,592640,525000,561130,497345,536090,475420,517700,457320,503880,447195,505035,447950,510085,451155,500955,441160,454730,399400,443405,385735
72052,"RADIOLOGIC EXAMINATION, SPINE, CERVICAL; 6 OR MORE VIEWS",RADEX SPI CRV COMPL W/OBLQ&FLEXION&/XTN STDS,158050,144400,152530,136680,140725,125910,127905,115095,117185,105145,111380,100730,108330,98655,104855,95360,99830,90455,120650,109570,113515,102285
72069,"RADIOLOGIC EXAMINATION, SPINE, THORACOLUMBAR, STANDING (SCOLIOSIS)",RADEX SPINE THORACOLMBR STANDING SCOLIOSIS,10660,8910,10330,8365,11605,9200,13845,10895,14285,11040,16530,12910,18620,14730,20280,15925,22240,17905,26520,20925,31235,23810
72070,"RADIOLOGIC EXAMINATION, SPINE; THORACIC, 2 VIEWS",RADEX SPINE THORACIC 2 VIEWS,477095,397660,489170,401080,467060,380865,450190,367140,428855,353010,414270,343705,400840,332180,395360,329000,385915,319935,378515,313285,369655,302230
72072,"RADIOLOGIC EXAMINATION, SPINE; THORACIC, 3 VIEWS",RADEX SPINE THORACIC 3 VIEWS,210775,191635,216525,195200,219070,197140,222025,199700,222470,200100,222135,200530,226310,204245,228980,207325,229195,206225,225665,202015,221375,197450
72074,"RADIOLOGIC EXAMINATION, SPINE; THORACIC, MINIMUM OF 4 VIEWS",RADEX SPINE THORACIC MINIMUM 4 VIEWS,18210,16650,19845,18260,19950,18315,19235,17780,19070,17505,20535,19070,21355,19585,21860,20240,21670,20155,19990,18340,18735,17365
72080,"RADIOLOGIC EXAMINATION, SPINE; THORACOLUMBAR, 2 VIEWS",RADEX SPINE THORACOLUMBAR 2 VIEWS,55100,46340,53955,43480,52495,42045,50335,40315,49055,39765,48925,38905,47510,38020,48565,38925,50370,40175,50470,40280,52105,41025
72090,"RADIOLOGIC EXAMINATION, SPINE; SCOLIOSIS STUDY, INCLUDING SUPINE AND
ERECT STUDIES",RADEX SPINE SCOLIOS STUDY W/SUPINE&ERECT STUDIES,10155,8415,11660,9270,12255,9695,12790,9895,14020,10890,13850,10940,15050,11740,16455,12760,17190,13240,20250,14965,22935,16775
72100,"RADIOLOGIC EXAMINATION, SPINE, LUMBOSACRAL; 2 OR 3 VIEWS",RADEX SPINE LUMBOSACRAL 2/3 VIEWS,2097640,1589490,2190305,1621220,2154700,1592015,2149625,1571915,2119865,1551170,2127505,1561045,2133775,1564745,2150045,1583020,2148445,1578605,2138920,1570665,2164095,1574920
72110,"RADIOLOGIC EXAMINATION, SPINE, LUMBOSACRAL; MINIMUM OF 4 VIEWS",RADEX SPINE LUMBOSACRAL MINIMUM 4 VIEWS,1104055,973930,1109415,958985,1076005,932130,1044020,902535,1014360,880970,999380,868025,998235,868310,1003205,873895,987980,856955,971765,839180,955495,817115
72114,"RADIOLOGIC EXAMINATION, SPINE, LUMBOSACRAL; COMPLETE, INCLUDING
BENDING VIEWS, MINIMUM OF 6 VIEWS",RADEX SPINE LUMBSCRL COMPL W/BENDING VIEWS MIN 6,94615,83990,99620,87655,97610,86815,98565,88240,98620,87860,103055,92005,108220,96110,116585,103525,100880,89895,96570,85930,100985,88875
72120,"RADIOLOGIC EXAMINATION, SPINE, LUMBOSACRAL; BENDING VIEWS ONLY, 2 OR 3
VIEWS",RADEX SPINE LUMBOSACRAL ONLY BENDING 2/3 VIEWS,29645,26145,32320,28330,30240,26515,30190,25910,28960,25005,28335,24860,26735,23315,26005,23150,32830,29715,38795,34845,41340,37100
72125,"COMPUTED TOMOGRAPHY, CERVICAL SPINE; WITHOUT CONTRAST MATERIAL",CT CERVICAL SPINE W/O CONTRAST MATERIAL,235810,201185,305510,260735,378430,322585,463570,395465,546470,466135,637865,541005,723145,610050,794815,672610,874460,734910,920760,775065,968100,819460
72126,"COMPUTED TOMOGRAPHY, CERVICAL SPINE; WITH CONTRAST MATERIAL",CT CERVICAL SPINE W/CONTRAST MATERIAL,22075,19980,23225,20570,22060,19760,22235,19920,21690,19645,21850,19920,20620,18955,21340,19720,21805,19960,21890,20120,21510,19925
72127,"COMPUTED TOMOGRAPHY, CERVICAL SPINE; WITHOUT CONTRAST MATERIAL,
FOLLOWED BY CONTRAST MATERIAL(S) AND FURTHER SECTIONS",CT CERVICAL SPINE W/O &W/CONTRAST MATERIAL,1735,1600,2935,2430,1895,1735,1915,1725,2235,1945,2020,1780,2030,1835,2200,2040,2225,2045,2185,1985,2410,2185
72128,"COMPUTED TOMOGRAPHY, THORACIC SPINE; WITHOUT CONTRAST MATERIAL",CT THORACIC SPINE W/O CONTRAST MATERIAL,48285,41625,57870,50015,70335,60505,80935,69650,91415,78820,102585,88240,108300,93370,118200,102795,128160,111250,133970,117005,140285,125105
72129,"COMPUTED TOMOGRAPHY, THORACIC SPINE; WITH CONTRAST MATERIAL",CT THORACIC SPINE W/CONTRAST MATERIAL,7790,6890,8355,7480,9020,8115,9180,8375,10210,9175,11625,10485,13075,12055,14095,12915,15315,13880,16025,14765,16765,15475
72130,"COMPUTED TOMOGRAPHY, THORACIC SPINE; WITHOUT CONTRAST MATERIAL,
FOLLOWED BY CONTRAST MATERIAL(S) AND FURTHER SECTIONS",CT THORACIC SPINE W/O & W/CONTRAST MATERIAL,1395,1290,1960,1655,1280,1100,1445,1220,1400,1265,1470,1275,1235,1140,1345,1250,1180,1050,1340,1240,1395,1335
72131,"COMPUTED TOMOGRAPHY, LUMBAR SPINE; WITHOUT CONTRAST MATERIAL",CT LUMBAR SPINE W/O CONTRAST MATERIAL,238770,210895,262045,227605,279605,240225,298200,255490,317915,271535,343755,293925,355875,304600,375650,322295,389885,335275,402450,345610,415485,360140
72132,"COMPUTED TOMOGRAPHY, LUMBAR SPINE; WITH CONTRAST MATERIAL",CT LUMBAR SPINE W/CONTRAST MATERIAL,62305,56350,61310,55360,61345,55475,58300,52725,57880,52110,57750,52690,58145,53000,58605,53465,59440,53990,59155,53640,59760,53555
72133,"COMPUTED TOMOGRAPHY, LUMBAR SPINE; WITHOUT CONTRAST MATERIAL,
FOLLOWED BY CONTRAST MATERIAL(S) AND FURTHER SECTIONS",CT LUMBAR SPINE W/O & W/CONTRAST MATERIAL,3335,2875,3750,3205,3740,3315,4295,3745,4010,3565,4645,4065,4755,4270,4960,4470,4795,4280,4780,4380,4900,4430
72141,"MAGNETIC RESONANCE (EG, PROTON) IMAGING, SPINAL CANAL AND CONTENTS,
CERVICAL; WITHOUT CONTRAST MATERIAL",MRI SPINAL CANAL CERVICAL W/O CONTRAST MATRL,472715,402320,512505,432030,518705,436295,533810,449030,546870,459910,550125,465750,556495,469890,581480,491990,598800,499645,595925,501580,603170,504905
72142,"MAGNETIC RESONANCE (EG, PROTON) IMAGING, SPINAL CANAL AND CONTENTS,
CERVICAL; WITH CONTRAST MATERIAL(S)",MRI SPINAL CANAL CERVICAL W/CONTRAST MATRL,5455,4835,5655,5090,5445,4865,5910,5120,5780,5185,4800,4335,5085,4490,5060,4470,5270,4635,5060,4500,4615,4130
72146,"MAGNETIC RESONANCE (EG, PROTON) IMAGING, SPINAL CANAL AND CONTENTS,
THORACIC; WITHOUT CONTRAST MATERIAL",MRI SPINAL CANAL THORACIC W/O CONTRAST MATRL,174015,147180,189505,158715,195425,163290,208625,173485,215225,179335,210740,177220,207570,174185,209590,176495,214725,178855,209605,176090,208840,175375
72147,"MAGNETIC RESONANCE (EG, PROTON) IMAGING, SPINAL CANAL AND CONTENTS,
THORACIC; WITH CONTRAST MATERIAL(S)",MRI SPINAL CANAL THORACIC W/CONTRAST MATRL,4885,4170,4585,4130,4445,4040,4705,4185,4415,3910,3900,3620,3945,3525,4250,3825,4075,3665,3990,3595,3480,3165
72148,"MAGNETIC RESONANCE (EG, PROTON) IMAGING, SPINAL CANAL AND CONTENTS,
LUMBAR; WITHOUT CONTRAST MATERIAL",MRI SPINAL CANAL LUMBAR W/O CONTRAST MATERIAL,1114590,949060,1202365,1009855,1224590,1024585,1259345,1049545,1291825,1073670,1291030,1079020,1293470,1081045,1335610,1118185,1363000,1124145,1367180,1131200,1406305,1154455
72149,"MAGNETIC RESONANCE (EG, PROTON) IMAGING, SPINAL CANAL AND CONTENTS,
LUMBAR; WITH CONTRAST MATERIAL(S)",MRI SPINAL CANAL LUMBAR W/CONTRAST MATERIAL,11565,10250,11430,10325,10755,9700,10300,9255,9510,8485,8625,7870,8270,7635,8205,7575,8035,7185,7625,7000,7575,6930
72156,"MAGNETIC RESONANCE (EG, PROTON) IMAGING, SPINAL CANAL AND CONTENTS,
WITHOUT CONTRAST MATERIAL, FOLLOWED BY CONTRAST MATERIAL(S) AND
FURTHER SEQUENCES; CERVICAL",MRI SPINAL CANAL CERVICAL W/O & W/CONTR MATRL,94300,78615,108195,90235,118030,97315,114355,95210,108075,89960,105700,89540,107830,90725,111735,95080,114500,96115,117100,98440,118845,100555
72157,"MAGNETIC RESONANCE (EG, PROTON) IMAGING, SPINAL CANAL AND CONTENTS,
WITHOUT CONTRAST MATERIAL, FOLLOWED BY CONTRAST MATERIAL(S) AND
FURTHER SEQUENCES; THORACIC",MRI SPINAL CANAL THORACIC W/O & W/CONTR MATRL,80210,64855,89740,71945,94785,76970,90805,73760,85850,69420,83125,67785,82485,67410,86355,70800,85110,69880,86510,71090,88425,72625
72158,"MAGNETIC RESONANCE (EG, PROTON) IMAGING, SPINAL CANAL AND CONTENTS,
WITHOUT CONTRAST MATERIAL, FOLLOWED BY CONTRAST MATERIAL(S) AND
FURTHER SEQUENCES; LUMBAR",MRI SPINAL CANAL LUMBAR W/O & W/CONTR MATRL,340210,278910,371115,300810,385935,312925,361550,293015,331300,268425,311460,257230,298460,248215,299975,248390,297795,245170,290365,239940,288795,238205
72159,"MAGNETIC RESONANCE ANGIOGRAPHY, SPINAL CANAL AND CONTENTS, WITH OR
WITHOUT CONTRAST MATERIAL(S)",MRA SPINAL CANAL W/WO CONTRAST MATERIAL,575,405,495,345,380,280,535,365,385,260,365,265,270,190,290,225,220,195,275,185,345,235
72170,"RADIOLOGIC EXAMINATION, PELVIS; 1 OR 2 VIEWS",RADIOLOGIC EXAMINATION PELVIS 1/2 VIEWS,1668545,1236010,1728765,1258945,1730525,1255845,1753905,1260730,1760070,1256910,1797870,1280830,1848460,1311005,1889470,1337770,1921575,1351645,1946475,1356815,1977520,1358975
72190,"RADIOLOGIC EXAMINATION, PELVIS; COMPLETE, MINIMUM OF 3 VIEWS",RADIOLOGIC EXAM PELVIS COMPL MINIMUM 3 VIEWS,83780,69405,81310,66105,74175,59985,70830,57015,69160,55450,67305,52195,68720,52725,67085,52475,69770,52875,69930,52850,74090,53640
72191,"COMPUTED TOMOGRAPHIC ANGIOGRAPHY, PELVIS, WITH CONTRAST
MATERIAL(S), INCLUDING NONCONTRAST IMAGES, IF PERFORMED, AND IMAGE
POSTPROCESSING",CT ANGIOGRAPHY PELVIS W/CONTRAST/NONCONTRAST,40775,33935,62865,51385,85545,68955,100375,81335,112535,92470,121155,99640,121445,100970,125805,104725,10700,8265,4460,3575,3680,3130
72192,"COMPUTED TOMOGRAPHY, PELVIS; WITHOUT CONTRAST MATERIAL",CT PELVIS W/O CONTRAST MATERIAL,1306115,1044750,1454775,1150280,1602660,1257200,1767510,1369055,1895475,1451925,2000970,1524615,2048965,1565610,164755,144860,149540,133075,151210,135040,152880,137990
72193,"COMPUTED TOMOGRAPHY, PELVIS; WITH CONTRAST MATERIAL(S)",CT PELVIS W/CONTRAST MATERIAL,2461135,1864995,2607310,1947055,2656425,1973240,2657870,1960190,2601090,1907085,2550345,1877760,2531095,1867165,68795,58215,43380,37015,39965,34645,37385,32885
72194,"COMPUTED TOMOGRAPHY, PELVIS; WITHOUT CONTRAST MATERIAL, FOLLOWED
BY CONTRAST MATERIAL(S) AND FURTHER SECTIONS",CT PELVIS W/O & W/CONTRAST MATERIAL,288155,250255,366835,314165,442000,373340,503710,419825,522095,432990,536325,445320,508655,423420,19360,16630,9400,8110,7505,6585,6780,5925
72195,"MAGNETIC RESONANCE (EG, PROTON) IMAGING, PELVIS; WITHOUT CONTRAST
MATERIAL(S)",MRI PELVIS W/O CONTRAST MATERIAL,72435,62255,76965,66565,77975,67455,83645,72100,85910,74140,85605,73755,83345,70795,85735,73010,84575,71880,81035,68350,81585,68920
72196,"MAGNETIC RESONANCE (EG, PROTON) IMAGING, PELVIS; WITH CONTRAST
MATERIAL(S)",MRI PELVIS W/CONTRAST MATERIAL,9110,8055,7245,6665,6125,5630,5275,4775,4180,3780,3640,3400,3340,3090,3480,3180,3480,2960,2620,2425,2495,2355
72197,"MAGNETIC RESONANCE (EG, PROTON) IMAGING, PELVIS; WITHOUT CONTRAST
MATERIAL(S), FOLLOWED BY CONTRAST MATERIAL(S) AND FURTHER SEQUENCES",MRI PELVIS W/O & W/CONTRAST MATERIAL,42205,34995,50235,42270,58850,49710,58920,49140,55525,46860,56595,47680,60215,51025,69730,58930,74220,62815,86190,71830,100360,82965
72198,"MAGNETIC RESONANCE ANGIOGRAPHY, PELVIS, WITH OR WITHOUT CONTRAST
MATERIAL(S)",MRA PELVIS W/WO CONTRAST MATERIAL,17590,14270,21460,16860,23510,18520,17740,14290,12030,9710,9615,8000,8155,7010,7265,6180,6400,5450,5535,4605,5095,4255
72200,"RADIOLOGIC EXAMINATION, SACROILIAC JOINTS; LESS THAN 3 VIEWS",RADIOLOGIC EXAMINATION SACROILIAC JNTS <3 VIEWS,14625,12800,16430,13875,18490,14835,17650,14550,15890,13295,15415,12880,15240,12800,16350,14010,16460,13905,16760,14150,17355,13790
72202,"RADIOLOGIC EXAMINATION, SACROILIAC JOINTS; 3 OR MORE VIEWS",RADIOLOGIC EXAM SACROILIAC JOINTS 3/MORE VIEWS,21905,20285,24355,21660,25710,22995,24685,22240,24635,22295,25435,23165,25580,23200,28215,25640,28200,25360,30390,27350,32770,28980
72220,"RADIOLOGIC EXAMINATION, SACRUM AND COCCYX, MINIMUM OF 2 VIEWS",RADEX SACRUM & COCCYX MINIMUM 2 VIEWS,113560,100515,120030,104095,118820,102490,124050,106635,123460,107175,125570,109165,128440,111525,133930,116480,130570,113520,133700,115240,135435,114860
72240,"MYELOGRAPHY, CERVICAL, RADIOLOGICAL SUPERVISION AND INTERPRETATION",MYELOGRAPY CERVICAL RS&I,14340,12905,14220,12535,12295,10940,11720,10425,11240,10030,10495,9455,9440,8405,9630,8865,9275,8620,9105,8225,8650,7155
72255,"MYELOGRAPHY, THORACIC, RADIOLOGICAL SUPERVISION AND INTERPRETATION",MYELOGRAPY THORACIC RS&I,2125,1825,1655,1370,1425,1210,1360,1065,1290,1065,1270,1025,1045,850,1140,1005,1030,920,895,845,945,780
72265,"MYELOGRAPHY, LUMBOSACRAL, RADIOLOGICAL SUPERVISION AND
INTERPRETATION",MYELOGRAPY LUMBOSACRAL RS&I,66410,57525,61145,52915,57125,50055,54185,45985,51025,43925,49695,42405,45075,39350,42580,37840,40895,36385,37490,33650,38660,31450
72270,"MYELOGRAPHY, 2 OR MORE REGIONS (EG, LUMBAR/THORACIC,
CERVICAL/THORACIC, LUMBAR/CERVICAL, LUMBAR/THORACIC/CERVICAL),
RADIOLOGICAL SUPERVISION AND INTERPRETATION",MYELOGRAPY 2/MORE REGIONS RS&I,8635,8030,9025,8370,9095,8380,9405,8495,9760,8675,10630,9255,10085,9020,10060,9015,9770,8810,9965,8990,11005,8825
72275,"EPIDUROGRAPHY, RADIOLOGICAL SUPERVISION AND INTERPRETATION",EPIDUROGRAPY RS&I,101275,49675,105600,51360,111355,54160,119795,57310,126560,60565,123605,59935,115365,60005,114555,60915,112745,60600,111200,58980,104270,54140
72285,"DISCOGRAPHY, CERVICAL OR THORACIC, RADIOLOGICAL SUPERVISION AND
INTERPRETATION",DISKOGRAPY CERVICAL/THORACIC RS&I,1610,670,2830,1065,2140,965,1920,885,2160,985,2235,1040,1635,835,1030,580,995,535,820,460,655,375
72291,"RADIOLOGICAL SUPERVISION AND INTERPRETATION, PERCUTANEOUS
VERTEBROPLASTY, VERTEBRAL AUGMENTATION, OR SACRAL AUGMENTATION
(SACROPLASTY), INCLUDING CAVITY CREATION, PER VERTEBRAL BODY OR
SACRUM; UNDER FLUOROSCOPIC GUIDANCE",RAD S&I PERQ VRTPLS/SACRPLSTY PR VRT BODY FLUOR,0,0,0,0,.,.,84145,55340,89590,59070,84350,58405,75625,51905,72735,49915,69665,48125,67950,46805,68595,46655
72292,"RADIOLOGICAL SUPERVISION AND INTERPRETATION, PERCUTANEOUS
VERTEBROPLASTY, VERTEBRAL AUGMENTATION, OR SACRAL AUGMENTATION
(SACROPLASTY), INCLUDING CAVITY CREATION, PER VERTEBRAL BODY OR
SACRUM; UNDER CT GUIDANCE",RAD S&I PERQ VRTPLS/SACRPLSTY PER VRT BODY CT,0,0,0,0,0,0,1220,900,1615,1055,1340,985,1335,1020,1705,1190,1250,865,1070,830,1445,1040
72295,"DISCOGRAPHY, LUMBAR, RADIOLOGICAL SUPERVISION AND INTERPRETATION",DISKOGRAPY LUMBAR RS&I,14680,6695,18105,7580,17680,7505,18150,7665,18210,7415,16680,7300,13535,6340,11150,5635,9975,4955,8925,4570,8250,3965
73000,"RADIOLOGIC EXAMINATION; CLAVICLE, COMPLETE",RADEX CLAVICLE COMPLETE,83695,56760,87950,57365,86480,56520,88460,56870,88635,56995,88085,57075,90870,57205,92985,58485,94690,59080,95135,58775,99805,59605
73010,"RADIOLOGIC EXAMINATION; SCAPULA, COMPLETE",RADEX SCAPULA COMPLETE,46290,39800,48610,40480,47405,39510,47990,39880,46900,38980,46820,38605,48340,39555,48495,39155,51120,40960,52895,42360,55045,42950
73020,"RADIOLOGIC EXAMINATION, SHOULDER; 1 VIEW",RADEX SHOULDER 1 VIEW,174790,137200,180275,136315,174840,133340,174815,133285,164765,126315,156400,121740,150650,118590,144930,113870,140020,110040,143470,113130,153940,121470
73030,"RADIOLOGIC EXAMINATION, SHOULDER; COMPLETE, MINIMUM OF 2 VIEWS",RADEX SHOULDER COMPLETE MINIMUM 2 VIEWS,2063945,1411725,2172075,1438115,2174970,1432820,2222840,1453315,2238490,1469590,2274975,1493995,2325315,1522215,2409775,1574510,2442025,1593610,2517065,1628610,2574010,1643525
73040,"RADIOLOGIC EXAMINATION, SHOULDER, ARTHROGRAPHY, RADIOLOGICAL
SUPERVISION AND INTERPRETATION",RADEX SHOULDER ARTHROGRAPHY RS&I,21340,18800,23240,19625,21860,18290,20445,17520,21435,17845,20415,17325,19845,16575,18555,15910,17850,15145,17375,14605,16960,14170
73050,"RADIOLOGIC EXAMINATION; ACROMIOCLAVICULAR JOINTS, BILATERAL, WITH OR
WITHOUT WEIGHTED DISTRACTION",RADEX A-C JOINTS BI W/WO WEIGHTED DISTRCJ,13305,11455,13980,11750,13550,11440,13605,11245,13030,10805,12550,10395,13465,11210,13045,11025,12200,10380,12385,10590,11520,9545
73060,"RADIOLOGIC EXAMINATION; HUMERUS, MINIMUM OF 2 VIEWS",RADEX HUMERUS MINIMUM 2 VIEWS,378095,250475,389555,253125,387515,249955,386825,252190,382000,250135,373585,246800,377500,247875,383600,252245,382230,251325,380475,249815,381080,246595
73070,"RADIOLOGIC EXAMINATION, ELBOW; 2 VIEWS",RADEX ELBOW 2 VIEWS,264085,176810,277380,181010,269470,176370,274685,177580,263790,176155,256520,173385,257250,173160,254015,172075,251995,172065,253280,171245,255400,171360
73080,"RADIOLOGIC EXAMINATION, ELBOW; COMPLETE, MINIMUM OF 3 VIEWS",RADEX ELBOW COMPLETE MINIMUM 3 VIEWS,253975,202435,268775,209745,265555,207870,282245,218125,287175,223475,296910,230795,314195,242250,329060,254250,340360,260420,350330,266795,365810,274310
73085,"RADIOLOGIC EXAMINATION, ELBOW, ARTHROGRAPHY, RADIOLOGICAL
SUPERVISION AND INTERPRETATION",RADEX ELBOW ARTHROGRAPHY RS&I,250,220,425,290,385,310,220,175,295,215,145,120,160,155,190,170,235,165,195,130,195,165
73090,"RADIOLOGIC EXAMINATION; FOREARM, 2 VIEWS",RADEX FOREARM 2 VIEWS,232240,177880,243185,183555,238850,181130,243320,184695,235550,182180,237315,184800,242255,186795,246245,190365,245865,190435,245035,188730,244350,187005
73092,"RADIOLOGIC EXAMINATION; UPPER EXTREMITY, INFANT, MINIMUM OF 2 VIEWS",RADEX UPPER EXTREMITY INFANT MINIMUM 2 VIEWS,370,335,380,355,190,180,160,150,200,180,175,135,105,95,100,90,110,80,60,60,95,80
