HRR Name,State,Overall - Number of Medicare beneficiaries with diabetes and PAD,Black - Number of Medicare beneficiaries with diabetes and PAD,Non-black - Number of Medicare beneficiaries with diabetes and PAD,"Overall - Leg amputation per 1,000 Medicare beneficiaries with diabetes and PAD","Black - Leg amputation per 1,000 Medicare beneficiaries with diabetes and PAD","Non-black - Leg amputation per 1,000 Medicare beneficiaries with diabetes and PAD","Overall - Therapeutic endovascular interventions per 1,000 Medicare beneficiaries with diabetes and PAD","Black - Therapeutic endovascular interventions per 1,000 Medicare beneficiaries with diabetes and PAD","Non-black - Therapeutic endovascular interventions per 1,000 Medicare beneficiaries with diabetes and PAD","Overall - Open leg bypass procedures per 1,000 Medicare beneficiaries with diabetes and PAD","Black - Open leg bypass procedures per 1,000 Medicare beneficiaries with diabetes and PAD","Non-black - Open leg bypass procedures per 1,000 Medicare beneficiaries with diabetes and PAD",Overall - Percent of diabetic Medicare beneficiaries (age 65-75) receiving blood lipids testing,Black - Percent of diabetic Medicare beneficiaries (age 65-75) receiving blood lipids testing,Non-black - Percent of diabetic Medicare beneficiaries (age 65-75) receiving blood lipids testing,Overall - Percent of diabetic Medicare beneficiaries (age 65-75) receiving hemoglobin A1c testing,Black - Percent of diabetic Medicare beneficiaries (age 65-75) receiving hemoglobin A1c testing,Non-black - Percent of diabetic Medicare beneficiaries (age 65-75) receiving hemoglobin A1c testing
Richmond,VA,93994,29058,64936,3.11,7.14,2.62,15.29,22.39,14.06,5.77,8.27,5.12,83.1150542177158,78.2859680284192,85.3578057331409,85.9456414589494,84.384251036116,86.670791228432
Roanoke,VA,53077,4113,48964,2.46,4.54,2.14,7.83,10.31,7.47,7.19,8.64,6.98,83.2984512348263,77.6084407971864,83.7360259646592,87.099204688154,84.2907385697538,87.3151821132348
Winchester,VA,27622,1235,26387,1.93,,,17.02,11.97,16.68,2.7,,,83.1832797427653,79.0035587188612,83.3810405792221,85.2733118971061,87.1886120996441,85.1826906886681
Everett,WA,21836,222,21614,2.93,,,15.69,,,4.8,,,81.1628363779218,72.5806451612903,81.2686418771127,86.8788057356119,80.6451612903226,86.9556571883078
Olympia,WA,15677,147,15530,3.42,,,11.44,,,4.73,,,77.3496485290289,56.8627450980392,77.6253298153034,83.5199166883624,56.8627450980392,83.8786279683377
Seattle,WA,94933,3596,91337,2.62,6.07,2.16,14.8,22.31,13.95,4.33,7.4,4.11,81.1057901610797,70.2150537634409,81.6188016005673,87.3845111981812,82.258064516129,87.6259940231981
Spokane,WA,74537,598,73939,2.89,,,10.85,,,4.89,,,79.90344742217,75.187969924812,79.9425861208188,86.6311815312249,83.4586466165414,86.6575137294059
Tacoma,WA,33240,1817,31423,1.91,,,9.34,12.48,8.88,2.09,,,79.0694172564373,65.7360406091371,79.9103569713462,84.0686643577775,71.8274111675127,84.8407235473027
Yakima,WA,13069,144,12925,1.36,,,14.33,,,3.64,,,78.7103046014258,61.5384615384615,78.8562091503268,85.7744653272845,73.0769230769231,85.8823529411765
Charleston,WV,65383,2017,63366,2.49,,,15.39,19.25,14.65,4.72,,,80.9514101257221,77.9156327543424,81.036892118502,82.8202514441047,81.1414392059553,82.8675237562884
Huntington,WV,28753,495,28258,3.09,,,23.74,,,3.06,,,78.3414480917229,71.5789473684211,78.4438775510204,83.0218313177321,82.1052631578947,83.0357142857143
Morgantown,WV,25078,417,24661,3.05,,,10.76,,,5.8,,,78.5677749360614,68.8888888888889,78.7186147186147,82.5575447570333,80,82.5974025974026
Appleton,WI,12082,13,12069,6.06,,,16.37,,,7.38,,,87.5902527075812,,,89.3501805054152,,
Green Bay,WI,25181,65,25116,3.95,,,19.8,,,6.28,,,84.3042749371333,70,84.3644781144781,89.5431684828164,75,89.6043771043771
La Crosse,WI,16026,62,15964,3.53,,,7.74,,,3.19,,,83.3940276766205,,,90.7865986890022,,
Madison,WI,46285,912,45373,2.25,,,14.1,12.92,13.49,3.12,,,82.7244206052019,72.6872246696035,82.9604309094676,89.6771581823702,82.3788546255507,89.8487673503211
Marshfield,WI,22141,25,22116,2.61,,,8.83,,,4.26,,,86.4678333744146,,,92.2849396105497,,
Milwaukee,WI,132717,12471,120246,2.16,4.85,1.8,14.5,15.24,14.26,3.96,4.72,3.85,83.8646520536284,78.8138754196195,84.5152301335639,88.427324962758,86.9824692279,88.6134332660709
Neenah,WI,9991,27,9964,4.23,,,10.65,,,5.66,,,87.1809744779582,,,92.1113689095128,,
Wausau,WI,12500,,,2.59,,,13.36,,,8.19,,,84.9658314350797,,,90.2961275626424,,
Casper,WY,8534,24,8510,4.1,,,10.54,,,3.59,,,53.9157990040742,,,73.6079674060661,,
United States,US,15937763,1861061,14076702,2.39,5.57,1.97,14.06,19.68,13.31,4.12,5.16,3.98,80.7215663976546,75.242589274627,81.5179359106824,83.8119033820651,80.9375134631029,84.2296960555178
